"9","    Proprietors' income with inventory valuation and capital consumption adjustments",1056.9,1104.0,1129.4,1144.4,1181.0,1212.2,1253.5,1270.4,1322.8,1356.5,1345.8,1364.2,1388.3,1411.8,1412.5,1401.7,1413.4,1452.7,1468.3,1456.6,1432.9,1406.3,1425.9,1423.7,1415.2,1410.2,1429.5,1440.0,1494.8,1512.2,1523.1,1542.9,1567.5,1573.3,1590.0,1624.4,1621.2,1632.9
"10","        Farm",31.5,35.3,41.3,47.8,66.8,61.2,66.4,65.1,60.9,59.0,60.3,63.4,94.1,95.3,94.3,69.6,68.3,79.0,66.1,65.9,54.0,55.7,58.9,55.5,36.5,38.3,36.5,31.2,44.5,42.1,34.1,31.8,28.1,27.5,17.4,35.9,24.8,19.2
"11","        Nonfarm",1025.4,1068.7,1088.2,1096.7,1114.2,1151.0,1187.1,1205.3,1261.9,1297.5,1285.5,1300.8,1294.2,1316.5,1318.2,1332.0,1345.1,1373.6,1402.2,1390.7,1378.9,1350.5,1367.0,1368.2,1378.7,1371.9,1393.0,1408.9,1450.3,1470.1,1489.0,1511.1,1539.4,1545.8,1572.6,1588.4,1596.3,1613.7
"12","    Rental income of persons with capital consumption adjustment",371.8,387.9,399.5,417.6,453.4,471.6,485.0,504.6,509.9,517.5,520.5,524.0,537.9,550.2,564.6,575.2,588.4,599.2,609.9,621.0,623.1,647.7,658.1,663.5,669.9,680.2,683.6,692.1,707.4,709.9,722.0,736.0,743.8,754.0,765.2,764.1,767.0,777.2
"13","    Personal income receipts on assets",1750.3,1764.0,1776.5,1838.5,1903.8,1930.2,1947.3,2022.3,2097.0,2151.7,2086.7,2327.1,2030.5,2041.1,2082.0,2111.6,2190.1,2285.3,2350.1,2383.4,2405.4,2485.8,2512.7,2479.3,2490.6,2505.3,2529.4,2560.2,2630.7,2657.1,2671.3,2767.4,2851.6,2909.3,2957.7,3002.0,2955.1,3016.5
"14","        Personal interest income",1246.4,1240.4,1222.1,1245.0,1267.7,1269.8,1250.4,1289.5,1341.6,1365.3,1290.2,1325.1,1273.4,1261.0,1272.4,1285.2,1315.6,1340.8,1365.2,1374.5,1357.7,1461.8,1488.5,1443.5,1447.1,1449.1,1457.9,1475.6,1545.4,1523.5,1528.9,1608.6,1669.6,1694.6,1719.3,1727.2,1699.3,1750.5
"15","        Personal dividend income",503.9,523.6,554.4,593.5,636.1,660.3,696.8,732.8,755.4,786.5,796.6,1002.0,757.1,780.1,809.7,826.4,874.5,944.5,984.9,1008.9,1047.6,1023.9,1024.2,1035.8,1043.5,1056.2,1071.5,1084.7,1085.3,1133.5,1142.4,1158.8,1182.0,1214.7,1238.4,1274.8,1255.8,1266.0
"16","    Personal current transfer receipts",2303.2,2311.1,2336.1,2350.1,2361.8,2361.6,2352.1,2359.3,2340.4,2362.8,2364.7,2384.2,2403.5,2416.2,2434.5,2443.2,2474.1,2526.8,2568.2,2597.1,2642.8,2679.2,2696.4,2714.7,2743.7,2765.5,2783.7,2803.8,2823.6,2828.2,2861.9,2878.8,2935.4,2963.1,2983.8,3003.7,3113.1,3158.6
"17","        Government social benefits to persons",2262.2,2268.7,2292.0,2302.7,2313.0,2312.1,2303.2,2312.2,2296.8,2321.8,2325.6,2346.1,2365.7,2378.3,2396.0,2403.7,2433.2,2484.5,2524.6,2552.1,2596.5,2630.8,2645.0,2659.7,2684.2,2704.2,2723.2,2746.6,2772.4,2780.6,2815.7,2831.5,2884.8,2910.1,2929.4,2949.0,3058.7,3104.2
"18","            Social security2",678.9,689.3,693.6,699.0,703.1,712.0,716.0,721.8,753.2,759.4,765.1,770.8,790.0,795.2,802.3,808.6,824.8,831.7,836.5,845.6,861.7,867.9,873.8,883.8,885.8,892.9,899.1,908.2,916.2,921.7,928.7,937.7,960.5,968.0,976.0,985.1,1022.9,1030.5
"19","            Medicare3",506.0,510.5,515.7,521.4,527.6,533.4,538.5,542.9,547.0,551.6,557.1,563.4,570.3,567.1,573.7,580.2,587.5,595.6,604.0,612.8,621.8,630.1,637.6,644.4,650.5,656.7,663.3,670.3,677.6,685.2,693.1,701.3,710.2,721.9,736.7,754.6,774.9,793.6
"20","            Medicaid",382.1,385.7,405.6,414.1,418.8,409.7,396.4,399.3,400.6,421.7,419.0,428.9,424.8,438.4,448.2,448.6,459.5,481.5,507.2,515.3,523.6,537.9,540.4,541.7,550.2,558.6,566.5,575.6,573.2,569.0,583.7,584.0,589.8,600.4,602.9,597.6,610.3,631.4
"21","            Unemployment insurance",159.3,141.2,131.0,123.9,116.7,109.3,102.9,99.8,94.6,86.3,78.4,75.1,69.0,64.8,59.1,57.1,39.0,35.8,34.0,33.0,32.8,31.9,32.0,31.8,32.3,31.9,31.6,30.8,30.7,29.6,29.6,29.2,28.8,27.2,26.6,26.0,26.9,25.9
"22","            Veterans' benefits",55.9,57.2,58.9,59.9,61.6,62.4,64.6,64.5,67.2,69.0,71.3,72.9,76.5,78.4,80.5,80.9,81.4,83.3,85.0,87.0,90.1,92.3,93.6,94.2,94.2,94.8,96.3,98.3,100.7,103.6,105.5,106.3,108.8,109.0,109.9,111.8,116.4,118.4
"23","            Other",480.0,484.9,487.3,484.4,485.2,485.4,484.8,484.0,434.2,433.9,434.6,435.0,435.2,434.3,432.2,428.2,441.0,456.7,457.9,458.4,466.4,470.7,467.5,463.9,471.3,469.3,466.4,463.4,474.1,471.6,475.1,473.1,486.7,483.5,477.4,473.8,507.3,504.4
"24","        Other current transfer receipts, from business (net)",41.0,42.4,44.1,47.4,48.8,49.5,48.9,47.0,43.5,41.0,39.1,38.1,37.8,37.9,38.5,39.5,40.9,42.2,43.6,45.0,46.3,48.4,51.3,55.0,59.5,61.3,60.6,57.2,51.2,47.6,46.2,47.3,50.6,53.0,54.4,54.7,54.4,54.4
"25","    Less: Contributions for government social insurance, domestic",973.6,984.5,987.4,989.5,911.8,914.5,922.9,917.4,940.3,944.7,947.6,969.4,1090.6,1103.1,1106.3,1117.2,1139.8,1144.5,1156.1,1173.8,1188.9,1201.1,1210.6,1218.2,1225.3,1232.4,1244.0,1258.0,1280.0,1292.0,1304.6,1321.8,1344.0,1350.9,1362.4,1368.7,1407.6,1422.5
"26","Less: Personal current taxes",1191.5,1212.9,1255.9,1288.8,1426.1,1445.4,1470.9,1470.4,1467.8,1487.1,1509.5,1571.4,1649.3,1681.9,1674.5,1697.7,1744.4,1757.8,1797.9,1835.8,1904.0,1940.8,1946.7,1959.6,1922.0,1945.3,1969.6,1987.4,2001.5,2016.0,2049.8,2115.8,2074.9,2071.7,2086.5,2077.4,2156.9,2208.4
"27","Equals: Disposable personal income",11084.4,11279.7,11380.1,11513.1,11732.1,11821.9,11931.1,12009.2,12317.9,12459.7,12406.0,12821.2,12351.9,12453.1,12557.5,12658.5,12894.9,13133.0,13322.0,13481.0,13574.6,13744.2,13884.3,13916.8,14015.6,14083.7,14205.9,14355.2,14602.6,14733.5,14880.6,15115.4,15465.4,15653.3,15842.0,16005.4,16198.5,16391.2
"28","Less: Personal outlays",10434.4,10518.3,10605.8,10735.3,10866.5,10994.3,11087.8,11146.4,11309.1,11353.5,11398.0,11513.9,11608.6,11625.5,11716.7,11864.9,11976.2,12164.8,12332.5,12474.3,12526.6,12692.8,12827.6,12877.9,12977.5,13138.6,13280.4,13428.6,13576.8,13699.7,13841.8,14090.2,14245.2,14465.9,14655.6,14757.8,14823.0,15073.1
"29","    Personal consumption expenditures",10040.5,10131.8,10220.6,10350.5,10485.4,10612.1,10705.4,10761.6,10922.4,10964.9,11014.2,11125.7,11223.2,11239.6,11330.9,11475.1,11574.2,11756.9,11915.4,12044.5,12091.6,12248.0,12376.2,12421.3,12523.5,12688.3,12822.4,12959.8,13104.4,13212.5,13345.1,13586.3,13728.4,13939.8,14114.6,14211.9,14266.3,14511.2
"30","    Personal interest payments4",248.8,244.4,240.5,237.5,233.4,232.2,231.3,231.4,231.9,232.7,233.0,232.1,230.5,228.9,228.5,230.2,236.5,239.3,244.6,254.7,255.8,262.2,267.1,271.4,267.4,271.1,275.5,281.0,286.5,294.8,305.8,310.3,322.3,329.6,341.5,353.4,359.1,363.0
"31","    Personal current transfer payments",145.1,142.1,144.8,147.3,147.7,150.0,151.1,153.5,154.8,156.0,150.7,156.0,154.9,157.0,157.2,159.5,165.5,168.6,172.5,175.0,179.2,182.5,184.3,185.2,186.6,179.3,182.5,187.9,185.9,192.4,191.0,193.7,194.5,196.4,199.6,192.5,197.7,198.9
"32","        To government",79.5,79.3,79.3,79.5,80.4,81.5,82.7,84.1,85.2,86.3,86.9,86.8,86.6,86.8,87.5,88.9,90.9,92.6,94.2,95.7,98.9,99.8,100.5,100.7,101.9,101.9,102.0,102.1,102.8,103.2,103.8,104.6,105.7,106.5,107.3,107.9,108.0,108.6
"33","        To the rest of the world (net)",65.6,62.8,65.5,67.8,67.3,68.5,68.5,69.3,69.6,69.7,63.8,69.2,68.3,70.2,69.6,70.6,74.6,75.9,78.3,79.4,80.3,82.7,83.9,84.4,84.7,77.4,80.5,85.8,83.1,89.1,87.2,89.2,88.8,89.9,92.3,84.5,89.7,90.3
"34","Equals: Personal saving",650.0,761.4,774.2,777.8,865.7,827.7,843.3,862.7,1008.9,1106.1,1008.0,1307.3,743.2,827.7,840.9,793.6,918.6,968.2,989.5,1006.7,1048.0,1051.5,1056.7,1038.9,1038.1,945.1,925.5,926.5,1025.8,1033.9,1038.8,1025.2,1220.2,1187.4,1186.4,1247.6,1375.5,1318.1
"35","    Personal saving as a percentage of disposable personal income",5.9,6.8,6.8,6.8,7.4,7.0,7.1,7.2,8.2,8.9,8.1,10.2,6.0,6.6,6.7,6.3,7.1,7.4,7.4,7.5,7.7,7.7,7.6,7.5,7.4,6.7,6.5,6.5,7.0,7.0,7.0,6.8,7.9,7.6,7.5,7.8,8.5,8.0
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","    Personal income excluding current transfer receipts, billions of chained (2012) dollars5",10454.3,10661.3,10766.2,10859.2,11120.1,11123.1,11215.8,11248.7,11498.6,11610.1,11543.7,11934.1,11485.1,11596.4,11627.3,11693.5,11885.4,12022.2,12172.0,12350.6,12517.9,12621.4,12710.6,12747.3,12773.2,12764.9,12834.8,12917.8,13080.6,13184.2,13268.6,13447.6,13599.1,13670.5,13785.6,13863.6,13999.8,14099.1
"","    Disposable personal income:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","        Total, billions of chained (2012) dollars5",11619.8,11811.2,11895.3,11962.0,12083.9,12057.6,12110.2,12147.9,12375.3,12487.8,12398.4,12741.9,12231.9,12323.0,12376.3,12425.2,12598.3,12769.9,12919.0,13089.7,13238.4,13338.0,13436.0,13478.6,13568.7,13554.3,13615.0,13696.7,13860.9,13953.4,14034.5,14162.4,14400.3,14495.9,14613.3,14715.2,14878.1,14966.6
"","        Per capita:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","            Current dollars",35883,36449,36702,37057,37701,37927,38202,38378,39301,39689,39442,40685,39138,39399,39652,39892,40571,41251,41761,42174,42400,42859,43211,43227,43463,43603,43899,44281,44980,45319,45693,46335,47343,47849,48343,48762,49284,49801
"39","            Chained (2012) dollars",37616,38167,38363,38502,38831,38683,38775,38821,39484,39779,39418,40433,38758,38987,39080,39157,39638,40110,40497,40950,41350,41592,41816,41866,42077,41964,42073,42249,42695,42919,43095,43414,44082,44311,44594,44831,45267,45473
"40","    Population (midperiod, thousands)",308901,309462,310069,310686,311192,311705,312318,312918,313421,313929,314534,315136,315595,316081,316692,317316,317838,318370,319009,319651,320157,320683,321315,321947,322476,322998,323606,324187,324648,325107,325667,326218,326670,327138,327697,328237,328678,329135
"","    Percent change from preceding period:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","        Disposable personal income, current dollars",3.7,7.2,3.6,4.8,7.8,3.1,3.7,2.6,10.7,4.7,-1.7,14.1,-13.9,3.3,3.4,3.3,7.7,7.6,5.9,4.9,2.8,5.1,4.1,0.9,2.9,2.0,3.5,4.3,7.1,3.6,4.1,6.5,9.6,4.9,4.9,4.2,4.9,4.8
"42","        Disposable personal income, chained (2012) dollars",2.3,6.8,2.9,2.3,4.1,-0.9,1.8,1.2,7.7,3.7,-2.8,11.6,-15.1,3.0,1.7,1.6,5.7,5.6,4.8,5.4,4.6,3.0,3.0,1.3,2.7,-0.4,1.8,2.4,4.9,2.7,2.3,3.7,6.9,2.7,3.3,2.8,4.5,2.4
"Legend / Footnotes:"
"1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
"3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund."
"4. Consists of nonmortgage interest paid by households.  Note that mortgage interest paid by households is an expense item in the calculation of rental income of persons."
"5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures."
