County,Municipality,School  Tax Rate (%),Property Tax as % Income
Hudson,Guttenberg,1.15,7.82
Middlesex,Monroe,1.35,6.28
Middlesex,Piscataway,1.34,5.64
Hudson,North Bergen,0.89,6.23
Middlesex,Perth Amboy,0.74,7.36
Hudson,Kearny,1.43,7.62
Morris,Mendham Twp,1.26,3.57
Morris,Morris Plains,0.96,5.17
Morris,Florham Park,0.77,3.86
Morris,Long Hill,1.38,5.76
Morris,Chester,1.24,5.01
Morris,Dover,0.97,6.42
Morris,Boonton,1.54,7
Morris,Butler,1.45,7.05
Morris,Mount Arlington,1.22,6.63
Morris,Mountain Lakes,1.5,3.67
Atlantic,Estell Manor,1.35,5.68
Atlantic,Galloway,1.4,6.16
Hunterdon,Flemington,1.64,6.05
Atlantic,Egg Harbor Twp,1.72,6.51
Hunterdon,Clinton Twp,1.7,5.17
Hunterdon,East Amwell,1.4,6
Hunterdon,Califon,2.14,6.07
Atlantic,Margate,0.31,7.05
Atlantic,Hammonton,1.29,5.15
Atlantic,Linwood,1.71,5.7
Union,Scotch Plains,1.54,5.84
Union,Summit,0.93,3.39
Warren,Belvidere,1.74,7.09
Union,Kenilworth,1.09,7.27
Warren,Franklin Twp,1.97,6.95
Morris,Roxbury,1.54,6.62
Union,New Providence,1.28,5.5
Union,Hillside,1.5,8.32
Union,Linden,1.47,8.22
Union,Roselle,1.75,10.07
Union,Mountainside,0.83,5.25
Union,Rahway,1.33,7.76
Union,Plainfield,0.9,7.99
Union,Springfield,1.27,6.29
Union,Roselle Park,1.71,7.88
Union,Westfield,1.22,4.71
Union,Union Twp,1.27,7.16
Warren,Hackettstown,1.46,6.98
Warren,Allamuchy,1.31,5.84
Atlantic,Weymouth,1.26,4.69
Bergen,Alpine,0.24,1.91
Bergen,Bergenfield,1.69,7.55
Bergen,Carlstadt,0.84,4.77
Atlantic,Mullica,1.15,5.86
Atlantic,Pleasantville,0.79,7.99
Atlantic,Port Republic,1.12,5.96
Atlantic,Ventnor,0.76,9.84
Morris,Pequannock,1.29,5.91
Bergen,Closter,1.36,6.52
Bergen,Cresskill,1.17,5.42
Warren,Mansfield,1.51,6.49
Warren,Oxford,1.84,7.43
Warren,Knowlton,1.45,6.82
Warren,Lopatcong,1.4,5.93
Atlantic,Buena,1.36,6.8
Atlantic,Buena Vista,1.33,5.75
Atlantic,Absecon,1.23,6.76
Atlantic,Atlantic City,0.89,9.96
Bergen,Dumont,1.74,8.29
Bergen,Englewood,1.01,4.31
Bergen,Englewood Cliffs,0.31,3.48
Bergen,East Rutherford,0.98,4.52
Bergen,Elmwood Park,1.43,7.64
Bergen,Garfield,1.13,6.63
Bergen,Hackensack,1.22,7.35
Monmouth,Roosevelt,1.77,7.76
Bergen,Fairview,1.12,8.71
Monmouth,Sea Bright,0.42,6.39
Bergen,Franklin Lakes,0.97,3.14
Monmouth,Ocean Twp,1.25,5.79
Monmouth,Red Bank,1.09,6.35
Bergen,Harrington Park,1.6,6.89
Monmouth,Monmouth Beach,0.63,4.3
Monmouth,Neptune City,1.15,6.51
Warren,Independence,1.32,6.31
Monmouth,Marlboro,1.32,5.05
Warren,Hope,1.49,8.41
Monmouth,Middletown,1.24,5.27
Monmouth,Long Branch,0.7,8.04
Monmouth,Manasquan,0.68,6.29
Atlantic,Hamilton,1.21,5.93
Atlantic,Longport,0.05,7.49
Atlantic,Somers Point,1.22,7.19
Monmouth,Sea Girt,0.2,4.44
Bergen,Allendale,1.37,5.01
Bergen,Bogota,1.8,8.34
Bergen,Cliffside Park,0.96,6.66
Bergen,Demarest,1.4,5.46
Bergen,Ho-Ho-Kus,0.98,4.26
Bergen,Haworth,1.33,6.72
Bergen,Leonia,1.52,7.48
Bergen,Lodi,1.83,8.26
Bergen,Lyndhurst,1.17,6.25
Bergen,Maywood,1.26,6.95
Bergen,Midland Park,1.51,6.82
Bergen,Moonachie,1.03,5.6
Bergen,New Milford,1.56,7.6
Bergen,Northvale,1.46,8.3
Monmouth,West Long Branch,1.15,6.49
Morris,Boonton Twp,1.26,3.73
Monmouth,Shrewsbury Twp,1.17,6.05
Atlantic,Corbin City,0.92,4.91
Monmouth,Spring Lake Heights,0.69,5.37
Monmouth,Union Beach,1.12,7.73
Atlantic,Folsom,0.98,4.74
Monmouth,Upper Freehold,1.58,6.09
Atlantic,Egg Harbor,1.62,8.41
Passaic,Pompton Lakes,1.94,8.6
Passaic,North Haledon,0.96,6.87
Passaic,Wayne,1.36,6.93
Passaic,Ringwood,1.54,7.76
Ocean,Surf City,0.26,6.79
Ocean,Seaside Heights,0.71,11.89
Passaic,Haledon,1.71,9.54
Passaic,Bloomingdale,1.77,8.7
Salem,Elmer,1.26,6.33
Salem,Mannington,1.17,5.77
Hunterdon,Lebanon Twp,1.69,5.87
Hunterdon,Raritan Twp,1.6,5.36
Hunterdon,Kingwood,1.43,6.56
Hunterdon,Lebanon,1.38,5.65
Hunterdon,West Amwell,1.51,6.53
Hunterdon,Readington,1.49,5.85
Hunterdon,Tewksbury,1.15,4.29
Hunterdon,Hampton Boro,2.13,8.44
Hunterdon,High Bridge,2.03,7.92
Hunterdon,Frenchtown,1.58,7.19
Camden,Tavistock,0.12,-
Camden,Winslow,1.67,6.97
Camden,Pine Hill,2.19,8.11
Camden,Somerdale,1.74,7.45
Cape May,Stone Harbor,0.05,7.1
Cape May,Lower Township,0.69,6.6
Cape May,Ocean City,0.21,6.07
Cumberland,Hopewell,1.45,5.87
Cumberland,Commercial,0.73,6.18
Cape May,Wildwood Crest,0.29,6.22
Cape May,West Cape May,0.54,7.49
Burlington,Springfield,1.6,6.77
Burlington,Westampton,1.17,5.12
Burlington,Woodland,1.47,6
Camden,Berlin,1.39,6.68
Camden,Brooklawn,0.86,5.45
Camden,Chesilhurst,0.88,7.92
Camden,Gibbsboro,1.75,7.22
Camden,Gloucester Twp,1.55,6.6
Camden,Haddonfield,1.48,5.62
Camden,Oaklyn,1.54,7.44
Camden,Magnolia,1.82,7.28
Burlington,Riverton,1.8,6.03
Burlington,Pemberton,0.81,3.94
Burlington,Riverside,1.63,7.29
Burlington,North Hanover,1.11,3.9
Burlington,Palmyra,1.53,6.7
Burlington,Mount Laurel,1.43,4.98
Burlington,New Hanover,1.53,4.67
Burlington,Medford,1.83,5.4
Burlington,Mount Holly,1.58,6.09
Burlington,Southampton,1.56,6.69
Burlington,Shamong,1.87,5.25
Burlington,Medford Lakes,1.78,6.72
Hunterdon,Union Twp,1.67,5.84
Hunterdon,Stockton,1.38,8.01
Hunterdon,Lambertville,1.07,5.04
Mercer,Lawrence,1.2,5.08
Mercer,Trenton,0.92,7.19
Mercer,Ewing,1.82,6.94
Mercer,Hightstown,1.82,7.09
Middlesex,Highland Park,1.7,6.53
Middlesex,Middlesex Borough,1.47,7.23
Middlesex,Carteret,1.19,6
Middlesex,East Brunswick,1.61,6.36
Hudson,Bayonne,1.32,6.63
Gloucester,Woodbury Heights,1.98,6.79
Hudson,Jersey City,0.63,3.27
Hudson,Harrison,0.96,5.78
Hudson,Secaucus,0.67,4.31
Hunterdon,Bethlehem,1.93,6.37
Hunterdon,Clinton,1.87,6.67
Hunterdon,Delaware,1.44,4.67
Hunterdon,Franklin Twp,1.63,6.39
Hunterdon,Glen Gardner,1.61,5.67
Hunterdon,Holland,1.77,5.95
Gloucester,Paulsboro,1.2,7.36
Gloucester,Newfield,1.54,7.36
Gloucester,National Park,2.25,8.47
Gloucester,Monroe,1.75,7.26
Gloucester,Logan,1.03,4.13
Gloucester,West Deptford,1.16,5.34
Gloucester,Westville,1.97,7.15
Gloucester,Washington Twp,1.68,6.08
Gloucester,Wenonah,1.88,5.64
Gloucester,South Harrison,1.74,5.98
Gloucester,Swedesboro,2,7.84
Essex,Millburn,0.89,2.87
Essex,Irvington,0.7,8.52
Cumberland,Upper Deerfield,1.55,5.62
Cumberland,Millville,0.6,5.59
Essex,Cedar Grove,1.09,5.73
Essex,Belleville,1.12,7.62
Essex,Roseland,0.89,5.27
Essex,Verona,1.36,6.21
Gloucester,Clayton,1.71,6.99
Gloucester,Glassboro,1.57,7.21
Essex,North Caldwell,1.19,4.02
Bergen,Woodcliff Lake,1.24,4.03
Sussex,Andover Twp,1.56,6.25
Bergen,Wood-Ridge,1.22,6.65
Somerset,Watchung,1.09,4.01
Bergen,Washington Twp,1.25,6.77
Bergen,Waldwick,1.7,8.19
Sussex,Green,1.73,6.73
Sussex,Fredon,1.58,6.6
Sussex,Frankford,1.41,6.93
Burlington,Bordentown,1.54,6.49
Burlington,Bass River,1.2,6.31
Sussex,Branchville,1.39,5.44
Sussex,Lafayette,1.74,7.79
Sussex,Montague,1.6,6.63
Sussex,Hamburg,1.84,7.59
Sussex,Hardyston,1.2,6.55
Bergen,Tenafly,1.4,4.74
Bergen,Upper Saddle River,1.15,4.38
Bergen,Saddle Brook,1.23,6.96
Bergen,South Hackensack,1.03,7.3
Bergen,Ramsey,1.47,6.01
Bergen,Paramus,0.83,5.57
Bergen,Ridgewood,1.39,4.98
Somerset,Branchburg,1.33,5.15
Bergen,Ridgefield,0.99,6.48
Bergen,Rochelle Park,1.07,6.7
Somerset,Franklin Twp,1.38,5.36
Bergen,River Vale,1.55,6.27
Somerset,Bridgewater,1.25,4.84
Somerset,Millstone,1.44,7.15
Bergen,Rutherford,1.41,7.15
Somerset,Hillsborough,1.34,5.36
Somerset,Montgomery,1.54,4.84
Somerset,Peapack Gladstone,0.86,2.92
Somerset,Rocky Hill,1.18,6.13
Somerset,Somerville,1.74,6.85
Somerset,Warren,1.26,3.85
Bergen,Oakland,1.48,6.52
Bergen,Old Tappan,1.21,4.66
Bergen,Palisades Park,0.75,7.59
Monmouth,Wall,1.05,5.73
Monmouth,Tinton Falls,1.11,5.02
Monmouth,Spring Lake,0.18,4.1
Monmouth,Rumson,0.76,3.36
Monmouth,Oceanport,1.06,5.56
Monmouth,Neptune Twp,0.96,6.57
Monmouth,Millstone Twp,1.67,5.75
Monmouth,Howell,1.57,6.25
Monmouth,Matawan,1.57,6.42
Monmouth,Loch Arbour,1.42,17.06
Monmouth,Keyport,1.26,6.6
Monmouth,Hazlet,1.46,6.12
Monmouth,Freehold,1.23,7.57
Monmouth,Fair Haven,1.21,4.7
Cumberland,Bridgeton,0.75,5.56
Cape May,Woodbine,0.75,3.96
Monmouth,Bradley Beach,0.47,6.88
Cumberland,Fairfield,0.86,5.62
Monmouth,Avon By The Sea,0.36,6.22
Cumberland,Deerfield,1.63,5.78
Monmouth,Allentown,1.61,6.62
Monmouth,Aberdeen,1.53,6.45
Cumberland,Lawrence,0.93,5.97
Middlesex,South River,1.1,6.09
Cumberland,Greenwich,1.46,7.71
Sussex,Vernon,1.59,7.01
Middlesex,South Brunswick,1.34,5.44
Sussex,Sussex,1.62,7
Burlington,Maple Shade,1.56,6.13
Union,Berkeley Heights,1.18,5.36
Sussex,Walpack,0,-
Burlington,Fieldsboro,1.52,6.83
Sussex,Ogdensburg,1.47,7.65
Burlington,Edgewater Park,1.37,6.15
Sussex,Stanhope,1.65,7.66
Burlington,Lumberton,1.37,5.49
Sussex,Sandyston,1.55,6.8
Burlington,Florence,1.44,5.87
Burlington,Burlington Twp,1.76,6.08
Burlington,Cinnaminson,1.72,5.99
Burlington,Delanco,1.37,6.74
Burlington,Eastampton,1.4,6.47
Union,Cranford,1.22,6.56
Union,Elizabeth,0.72,6.91
Union,Garwood,1.12,7.27
Burlington,Bordentown Twp,1.58,6.02
Cumberland,Maurice River,0.84,6.66
Cumberland,Shiloh,1.04,4.24
Cumberland,Stow Creek,1.22,5.95
Cumberland,Vineland,0.53,4.63
Middlesex,New Brunswick,0.91,6.53
Middlesex,Plainsboro,1.56,4.8
Morris,Parsippany-Troy Hills,1.4,5.51
Morris,Randolph,1.61,5
Cape May,Dennis,1.02,5.27
Cape May,Middle Township,0.86,5.78
Cape May,Avalon,0.04,6.11
Cape May,Cape May Point,0.01,4.17
Camden,Woodlynne,2.51,9.71
Cape May,Wildwood,0.64,11.02
Cape May,West Wildwood,0.58,7.95
Cape May,Upper Township,1.1,4.18
Cape May,Sea Isle City,0.08,5.26
Cape May,North Wildwood,0.22,6.79
Ocean,South Toms River,0.88,7.08
Ocean,Seaside Park,0.41,8.51
Morris,Rockaway Twp,1.68,7.16
Morris,Rockaway,1.44,6.62
Passaic,Clifton,1.31,7.36
Ocean,Tuckerton,1.08,7.84
Ocean,Toms River,0.79,5.68
Ocean,Stafford,0.84,6.96
Morris,Kinnelon,1.58,5.17
Camden,Laurel Springs,2.03,8.27
Camden,Lindenwold,1.77,6.71
Camden,Merchantville,1.68,6.12
Camden,Mount Ephraim,1.84,7.02
Camden,Waterford,1.55,7.53
Camden,Voorhees,1.63,5.44
Morris,Netcong,1.6,7.49
Camden,Pine Valley,-,-
Camden,Pennsauken,1.52,6.44
Camden,Stratford,1.99,7.22
Camden,Runnemede,1.79,7.28
Morris,Madison,1,3.75
Morris,Lincoln Park,1.26,6.96
Morris,Mine Hill,1.4,7.21
Morris,Mendham,1.16,3.71
Morris,Morris Twp,1.02,3.91
Morris,Montville,1.31,5.05
Morris,Mount Olive,1.96,6.23
Morris,Morristown,1.06,4.71
Salem,Oldmans,1.08,5.38
Salem,Pennsville,1.54,6.95
Salem,Elsinboro,1.14,6.55
Salem,Lower Alloways Creek,-,2.32
Camden,Berlin Twp,1.45,7.4
Camden,Camden,0.43,4.09
Camden,Bellmawr,1.5,7.91
Camden,Gloucester City,0.72,6.21
Camden,Collingswood,1.38,6.6
Camden,Clementon,1.49,7.81
Camden,Cherry Hill,1.83,5.76
Camden,Hi-Nella,1.37,6.24
Camden,Haddon Twp,1.57,6.89
Camden,Haddon Heights,1.43,6.39
Somerset,Bernardsville,0.93,3.37
Somerset,Bernards Twp,1.2,4.04
Salem,Woodstown,1.27,6.45
Salem,Salem,1.14,7.94
Salem,Quinton,1.28,6.68
Salem,Pilesgrove,1.28,5.92
Passaic,Hawthorne,1.45,7.94
Passaic,Little Falls,1.12,7.64
Passaic,Passaic,0.53,6.84
Somerset,Bedminster,0.59,3.51
Somerset,South Bound Brook,1.85,6.79
Warren,Washington Twp,1.63,6.84
Sussex,Stillwater,1.55,6.77
Burlington,Washington Twp,0.94,2.23
Burlington,Tabernacle,1.65,5.8
Burlington,Wrightstown,1.25,3.19
Burlington,Willingboro,1.43,8.13
Camden,Barrington,1.77,7.68
Camden,Audubon,1.44,6.99
Passaic,Woodland Park,1.21,7.74
Passaic,West Milford,1.67,8.31
Salem,Carneys Point,1.18,6.24
Passaic,Prospect Park,2.16,8.93
Passaic,Paterson,0.55,8.12
Passaic,Wanaque,1.56,8.32
Passaic,Totowa,1.07,7.02
