County,Municipality,TANF %,% SNAP Beneficiaries
Ocean,Jackson,0.13,3.56
Warren,Greenwich,0.19,2.92
Union,Fanwood,0.01,1.11
Ocean,Island Heights,0.36,3.39
Warren,Alpha,0.25,5.8
Warren,Blairstown,0.05,2.67
Ocean,Bay Head,0.41,2.26
Gloucester,Harrison Twp,0.51,7.97
Mercer,Hopewell Twp,0.02,0.13
Gloucester,Greenwich,0.35,7.67
Ocean,Beach Haven,0.51,4.41
Mercer,Hopewell,0,1.3
Mercer,Hamilton,0.16,3.36
Gloucester,Franklin Twp,0.17,5
Mercer,East Windsor,0.1,2.33
Gloucester,East Greenwich,0.11,3.37
Ocean,Eagleswood,0.68,10.93
Ocean,Harvey Cedars,0,7.37
Ocean,Beachwood,0.24,5.04
Ocean,Brick,0.2,3.98
Gloucester,Mantua,0.34,5.33
Essex,Orange,1.07,18.67
Middlesex,Dunellen,0.28,5.26
Middlesex,Cranbury,0.13,2.19
Mercer,West Windsor,0.02,0.36
Gloucester,Deptford,0.25,4.94
Essex,West Orange,0.16,4.33
Mercer,Robbinsville,0,0.56
Essex,West Caldwell,0.02,1.03
Mercer,Princeton Twp,0.01,2.15
Essex,South Orange,0.1,1.94
Mercer,Pennington,0.12,3.09
Warren,Pohatcong,0.09,2.89
Warren,Washington,0.5,10.42
Warren,White,0,2.34
Morris,Chatham,0,0.64
Gloucester,Woodbury,1.14,18.77
Morris,Chatham Twp,0,0.49
Hudson,West New York,0.5,18.73
Morris,Chester Twp,0,0.29
Morris,Denville,0.06,2.1
Hunterdon,Milford,0.08,7.31
Morris,East Hanover,0.05,1.47
Ocean,Point Pleasant,0.08,1.92
Cumberland,Downe,0.5,8.05
Morris,Hanover,0.01,1.5
Ocean,Plumsted,0.3,3.34
Essex,Essex Fells,0,0.05
Morris,Harding,0,0.1
Gloucester,Elk,0.38,6.36
Ocean,Point Pleasant Beach,0.38,4.48
Gloucester,Pitman,0.21,5.8
Camden,Audubon Park,0,6.26
Camden,Lawnside,0.71,18.59
Cape May,Cape May,0.33,6.13
Hudson,Weehawken,0.24,8.05
Middlesex,Jamesburg,0.2,8.57
Hudson,Union City,0.82,22.17
Middlesex,Helmetta,0.05,3.15
Ocean,Lavallette,0.37,6.26
Hunterdon,Bloomsbury,0.35,5.76
Ocean,Little Egg Harbor,0.49,7.77
Middlesex,Milltown,0.03,2.12
Hunterdon,Alexandria,0,0.77
Ocean,Long Beach,0.03,1.73
Middlesex,Metuchen,0.09,3.39
Ocean,Manchester,0.11,3.55
Ocean,Mantoloking,0.34,5.7
Middlesex,Edison,0.12,3.43
Ocean,Ocean Twp,0.43,5.22
Ocean,Pine Beach,0.23,4.68
Middlesex,Sayreville,0.05,2.11
Hudson,East Newark,0.53,22.29
Gloucester,Woolwich,0.08,1.38
Hudson,Hoboken,0.18,5.38
Middlesex,North Brunswick,0.17,5.26
Hudson,Guttenberg,0.54,13.41
Middlesex,Monroe,0.03,1.32
Middlesex,Piscataway,0.1,3.33
Hudson,North Bergen,0.43,13.63
Middlesex,Perth Amboy,0.71,18.28
Hudson,Kearny,0.28,9.57
Morris,Mendham Twp,0.02,0.63
Morris,Morris Plains,0.09,5.47
Morris,Florham Park,0.03,0.86
Morris,Long Hill,0,1.11
Morris,Chester,0,2.71
Morris,Dover,0.34,12.21
Morris,Boonton,0.15,6.05
Morris,Butler,0.07,3.57
Morris,Mount Arlington,0.08,2.19
Morris,Mountain Lakes,0.05,0.45
Atlantic,Estell Manor,0.69,8.48
Atlantic,Galloway,0.21,6.31
Hunterdon,Flemington,0.83,16.06
Atlantic,Egg Harbor Twp,0.37,7.18
Hunterdon,Clinton Twp,0.01,1.38
Hunterdon,East Amwell,0.02,2.1
Hunterdon,Califon,0,4.01
Atlantic,Margate,0.19,3.86
Atlantic,Hammonton,0.55,12.56
Atlantic,Linwood,0.07,1.54
Union,Scotch Plains,0.04,1.57
Union,Summit,0.04,1.9
Warren,Belvidere,0.19,10.18
Union,Kenilworth,0.1,2.56
Warren,Franklin Twp,0,1.3
Morris,Roxbury,0.09,2.81
Union,New Providence,0.01,0.77
Union,Hillside,0.26,6.31
Union,Linden,0.38,7.05
Union,Roselle,0.27,9.06
Union,Mountainside,0.03,0.46
Union,Rahway,0.35,8.64
Union,Plainfield,0.82,18.57
Union,Springfield,0.09,1.82
Union,Roselle Park,0.1,3.82
Union,Westfield,0.06,1.13
Union,Union Twp,0.1,2.96
Warren,Hackettstown,0.28,7.46
Warren,Allamuchy,0.12,1.28
Atlantic,Weymouth,0.07,2.95
Bergen,Alpine,0.38,7.68
Bergen,Bergenfield,0.13,4.96
Bergen,Carlstadt,0.15,3.7
Atlantic,Mullica,0.11,1.58
Atlantic,Pleasantville,1.66,21.8
Atlantic,Port Republic,0,2.25
Atlantic,Ventnor,0.43,9.96
Morris,Pequannock,0.06,1.37
Bergen,Closter,0.01,1.08
Bergen,Cresskill,0.02,0.85
Warren,Mansfield,0.1,4.25
Warren,Oxford,0.6,7.7
Warren,Knowlton,0.33,4.7
Warren,Lopatcong,0.08,2.35
Atlantic,Buena,0.78,14.89
Atlantic,Buena Vista,0.32,8.21
Atlantic,Absecon,0.39,10.39
Atlantic,Atlantic City,2.59,38.06
Bergen,Dumont,0.05,2.9
Bergen,Englewood,0.5,7.99
Bergen,Englewood Cliffs,0.04,0.7
Bergen,East Rutherford,0.29,6.5
Bergen,Elmwood Park,0.22,7.05
Bergen,Garfield,0.58,11.78
Bergen,Hackensack,0.35,10.2
Monmouth,Roosevelt,0.34,5.66
Bergen,Fairview,0.31,11.45
Monmouth,Sea Bright,0,1.98
Bergen,Franklin Lakes,0,0.49
Monmouth,Ocean Twp,0.16,3.5
Monmouth,Red Bank,0.28,7.64
Bergen,Harrington Park,0.04,0.47
Monmouth,Monmouth Beach,0,0.34
Monmouth,Neptune City,0.92,13.44
Warren,Independence,0.07,2.48
Monmouth,Marlboro,0.01,1.22
Warren,Hope,0.15,1.23
Monmouth,Middletown,0.08,1.97
Monmouth,Long Branch,0.51,10.88
Monmouth,Manasquan,0.08,2.22
Atlantic,Hamilton,0.51,11
Atlantic,Longport,0.11,2.01
Atlantic,Somers Point,0.71,12.38
Monmouth,Sea Girt,0,0.87
Bergen,Allendale,0.05,0.63
Bergen,Bogota,0.32,5.45
Bergen,Cliffside Park,0.36,7.63
Bergen,Demarest,0.04,0.59
Bergen,Ho-Ho-Kus,0.02,0.27
Bergen,Haworth,0,0.24
Bergen,Leonia,0.14,2.66
Bergen,Lodi,0.44,9.52
Bergen,Lyndhurst,0.12,4.3
Bergen,Maywood,0.11,3.82
Bergen,Midland Park,0.01,1.45
Bergen,Moonachie,0.33,9.76
Bergen,New Milford,0.07,2.64
Bergen,Northvale,0.06,1.22
Monmouth,West Long Branch,0.06,1.2
Morris,Boonton Twp,0.05,3.2
Monmouth,Shrewsbury Twp,0.09,2.8
Atlantic,Corbin City,0,9.37
Monmouth,Spring Lake Heights,0,1.17
Monmouth,Union Beach,0.34,6.77
Atlantic,Folsom,0.16,3.18
Monmouth,Upper Freehold,0,0.62
Atlantic,Egg Harbor,1.91,32.71
Passaic,Pompton Lakes,0.22,5.16
Passaic,North Haledon,0.11,2.03
Passaic,Wayne,0.07,2.55
Passaic,Ringwood,0.06,2.53
Ocean,Surf City,0.17,3.06
Ocean,Seaside Heights,3.58,38.06
Passaic,Haledon,0.86,17.45
Passaic,Bloomingdale,0.21,5.58
Salem,Elmer,0.43,15.82
Salem,Mannington,0.22,2
Hunterdon,Lebanon Twp,0.05,1.19
Hunterdon,Raritan Twp,0.07,1.56
Hunterdon,Kingwood,0.16,1.33
Hunterdon,Lebanon,0.15,4.28
Hunterdon,West Amwell,0,0.68
Hunterdon,Readington,0.06,2.01
Hunterdon,Tewksbury,0.02,0.23
Hunterdon,Hampton Boro,0.21,10.59
Hunterdon,High Bridge,0.16,2.91
Hunterdon,Frenchtown,0.29,10.08
Camden,Tavistock,0,20
Camden,Winslow,0.69,9.54
Camden,Pine Hill,0.47,11.75
Camden,Somerdale,0.25,11.37
Cape May,Stone Harbor,0,1.63
Cape May,Lower Township,0.48,11.49
Cape May,Ocean City,0.28,7.19
Cumberland,Hopewell,0.11,0.46
Cumberland,Commercial,0.63,8.52
Cape May,Wildwood Crest,0.34,8.13
Cape May,West Cape May,0.29,6.1
Burlington,Springfield,0.03,0.85
Burlington,Westampton,0.14,9.09
Burlington,Woodland,0,2.35
Camden,Berlin,0.5,8.69
Camden,Brooklawn,1.13,15.56
Camden,Chesilhurst,0.61,11.45
Camden,Gibbsboro,0.04,3.48
Camden,Gloucester Twp,0.22,4.33
Camden,Haddonfield,0.11,2.48
Camden,Oaklyn,0.62,13.61
Camden,Magnolia,0.67,10.19
Burlington,Riverton,0.18,3.99
Burlington,Pemberton,1.27,29.53
Burlington,Riverside,0.38,11.24
Burlington,North Hanover,0.09,1.13
Burlington,Palmyra,0.43,7.6
Burlington,Mount Laurel,0.12,2.82
Burlington,New Hanover,0,0.43
Burlington,Medford,0.01,0.62
Burlington,Mount Holly,1.22,18.08
Burlington,Southampton,0.14,3.8
Burlington,Shamong,0.17,3.04
Burlington,Medford Lakes,0.55,8.96
Hunterdon,Union Twp,0,0.49
Hunterdon,Stockton,0,5.04
Hunterdon,Lambertville,0.05,5.62
Mercer,Lawrence,0.09,2
Mercer,Trenton,2.46,30.81
Mercer,Ewing,0.13,2.26
Mercer,Hightstown,0.11,5.81
Middlesex,Highland Park,0.14,4.24
Middlesex,Middlesex Borough,0.13,3.72
Middlesex,Carteret,0.41,9.67
Middlesex,East Brunswick,0.05,2.47
Hudson,Bayonne,0.64,14
Gloucester,Woodbury Heights,0.16,5.22
Hudson,Jersey City,1.15,19.22
Hudson,Harrison,0.5,11.97
Hudson,Secaucus,0.18,7.53
Hunterdon,Bethlehem,0.05,0.65
Hunterdon,Clinton,0.15,2.4
Hunterdon,Delaware,0.07,0.66
Hunterdon,Franklin Twp,0.06,1.25
Hunterdon,Glen Gardner,0.24,7.06
Hunterdon,Holland,0,1.95
Gloucester,Paulsboro,1.77,25.13
Gloucester,Newfield,0.19,16.3
Gloucester,National Park,0.69,12.51
Gloucester,Monroe,0.47,8.03
Gloucester,Logan,0.15,2.87
Gloucester,West Deptford,0.41,6.78
Gloucester,Westville,1.58,31.27
Gloucester,Washington Twp,0.28,4.27
Gloucester,Wenonah,0.26,9.98
Gloucester,South Harrison,0.44,11.95
Gloucester,Swedesboro,0.73,15.71
Essex,Millburn,0.02,0.52
Essex,Irvington,1.59,21.52
Cumberland,Upper Deerfield,0.42,5.01
Cumberland,Millville,1.33,26.46
Essex,Cedar Grove,0.06,1.02
Essex,Belleville,0.31,8.57
Essex,Roseland,0.05,0.98
Essex,Verona,0.02,1.41
Gloucester,Clayton,0.66,11.69
Gloucester,Glassboro,0.57,10.2
Essex,North Caldwell,0.03,1.21
Bergen,Woodcliff Lake,0,0.62
Sussex,Andover Twp,0.03,0.57
Bergen,Wood-Ridge,0.07,1.9
Somerset,Watchung,0.07,0.98
Bergen,Washington Twp,0.02,0.71
Bergen,Waldwick,0.02,1.01
Sussex,Green,0.06,0.25
Sussex,Fredon,0,0.26
Sussex,Frankford,0.04,0.4
Burlington,Bordentown,0.1,6.67
Burlington,Bass River,0.07,4.35
Sussex,Branchville,0.24,13.64
Sussex,Lafayette,0.2,4.24
Sussex,Montague,0.16,8.49
Sussex,Hamburg,0.49,11.9
Sussex,Hardyston,0.05,1.17
Bergen,Tenafly,0.01,0.77
Bergen,Upper Saddle River,0,0.56
Bergen,Saddle Brook,0.07,2.6
Bergen,South Hackensack,0.33,6.1
Bergen,Ramsey,0.05,1.09
Bergen,Paramus,0.03,1.67
Bergen,Ridgewood,0.01,0.94
Somerset,Branchburg,0.04,1.12
Bergen,Ridgefield,0.18,3.55
Bergen,Rochelle Park,0.13,3.79
Somerset,Franklin Twp,0.28,5.57
Bergen,River Vale,0,0.64
Somerset,Bridgewater,0.04,1.67
Somerset,Millstone,0,0.95
Bergen,Rutherford,0.09,2.58
Somerset,Hillsborough,0.07,1.63
Somerset,Montgomery,0.01,0.74
Somerset,Peapack Gladstone,0,1.27
Somerset,Rocky Hill,0,1.46
Somerset,Somerville,0.6,9.19
Somerset,Warren,0.01,0.76
Bergen,Oakland,0.02,0.83
Bergen,Old Tappan,0.03,0.6
Bergen,Palisades Park,0.09,4.37
Monmouth,Wall,0.07,1.49
Monmouth,Tinton Falls,0.17,2.7
Monmouth,Spring Lake,0,1.94
Monmouth,Rumson,0,0.11
Monmouth,Oceanport,0.05,3.7
Monmouth,Neptune Twp,0.44,9.47
Monmouth,Millstone Twp,0.06,1.29
Monmouth,Howell,0.07,2.05
Monmouth,Matawan,0.28,6.19
Monmouth,Loch Arbour,0,5.15
Monmouth,Keyport,0.25,9.82
Monmouth,Hazlet,0.13,2.72
Monmouth,Freehold,0.22,13.4
Monmouth,Fair Haven,0.02,0.82
Cumberland,Bridgeton,2.15,37.27
Cape May,Woodbine,0.61,22.77
Monmouth,Bradley Beach,0.3,7.79
Cumberland,Fairfield,0.06,2.21
Monmouth,Avon By The Sea,0.26,3
Cumberland,Deerfield,0.13,2.01
Monmouth,Allentown,0.49,3.06
Monmouth,Aberdeen,0.17,2.49
Cumberland,Lawrence,0.27,5.24
Middlesex,South River,0.25,6.57
Cumberland,Greenwich,0.25,8.17
Sussex,Vernon,0.07,2
Middlesex,South Brunswick,0.1,2.58
Sussex,Sussex,0.52,30.25
Burlington,Maple Shade,0.19,6.35
Union,Berkeley Heights,0.04,0.74
Sussex,Walpack,0,6.25
Burlington,Fieldsboro,0.37,7.01
Sussex,Ogdensburg,0.17,5.55
Burlington,Edgewater Park,0.22,8.15
Sussex,Stanhope,0.19,6.18
Burlington,Lumberton,0.18,4.9
Sussex,Sandyston,0,1.61
Burlington,Florence,0.5,7.18
Burlington,Burlington Twp,0.47,7.16
Burlington,Cinnaminson,0.16,3.08
Burlington,Delanco,0.21,7.06
Burlington,Eastampton,0.18,4.19
Union,Cranford,0.04,1.34
Union,Elizabeth,0.87,16.4
Union,Garwood,0.05,2.66
Burlington,Bordentown Twp,0.11,3.66
Cumberland,Maurice River,0.04,2.51
Cumberland,Shiloh,0,14.7
Cumberland,Stow Creek,0,1.95
Cumberland,Vineland,0.66,18.23
Middlesex,New Brunswick,0.71,15.35
Middlesex,Plainsboro,0.04,1.43
Morris,Parsippany-Troy Hills,0.04,3.36
Morris,Randolph,0.03,2.11
Cape May,Dennis,0.12,2.65
Cape May,Middle Township,0.5,12.25
Cape May,Avalon,0,2.42
Cape May,Cape May Point,0,1.04
Camden,Woodlynne,1.44,20.87
Cape May,Wildwood,2.29,35.66
Cape May,West Wildwood,0.33,11.02
Cape May,Upper Township,0.2,3.17
Cape May,Sea Isle City,0.05,4.95
Cape May,North Wildwood,0.32,10.24
Ocean,South Toms River,1.11,12.51
Ocean,Seaside Park,0.19,8.44
Morris,Rockaway Twp,0.02,1.03
Morris,Rockaway,0.09,5.19
Passaic,Clifton,0.34,10.03
Ocean,Tuckerton,0.83,13.05
Ocean,Toms River,0.23,6.07
Ocean,Stafford,0.2,4.76
Morris,Kinnelon,0.05,0.91
Camden,Laurel Springs,0.84,12.22
Camden,Lindenwold,1.03,17.94
Camden,Merchantville,0.47,9.64
Camden,Mount Ephraim,0.62,8.75
Camden,Waterford,0.39,6.12
Camden,Voorhees,0.1,3.11
Morris,Netcong,0.28,7.2
Camden,Pine Valley,0,233.33
Camden,Pennsauken,0.62,13.17
Camden,Stratford,0.2,5.17
Camden,Runnemede,0.25,7.11
Morris,Madison,0.01,1.59
Morris,Lincoln Park,0.02,3.02
Morris,Mine Hill,0.16,4.03
Morris,Mendham,0,0.6
Morris,Morris Twp,0,0.3
Morris,Montville,0,1.27
Morris,Mount Olive,0.12,3.35
Morris,Morristown,0.32,10.57
Salem,Oldmans,0.45,8.94
Salem,Pennsville,0.26,8.54
Salem,Elsinboro,0,1.94
Salem,Lower Alloways Creek,0,1.53
Camden,Berlin Twp,0.43,8.28
Camden,Camden,3.99,47.11
Camden,Bellmawr,0.63,9.64
Camden,Gloucester City,0.8,15.26
Camden,Collingswood,0.47,7.81
Camden,Clementon,1.24,33.23
Camden,Cherry Hill,0.14,3.65
Camden,Hi-Nella,0.46,11.62
Camden,Haddon Twp,0.09,1.46
Camden,Haddon Heights,0.09,3.09
Somerset,Bernardsville,0,0.76
Somerset,Bernards Twp,0.03,0.8
Salem,Woodstown,0.57,10.64
Salem,Salem,3.39,43.78
Salem,Quinton,0.41,5.38
Salem,Pilesgrove,0,4.72
Passaic,Hawthorne,0.2,4.7
Passaic,Little Falls,0.11,2.88
Passaic,Passaic,1.27,29.95
Somerset,Bedminster,0.02,1.13
Somerset,South Bound Brook,0.44,6.79
Warren,Washington Twp,0.15,3.26
Sussex,Stillwater,0,0.39
Burlington,Washington Twp,0.44,4.21
Burlington,Tabernacle,0.1,2.67
Burlington,Wrightstown,2.11,60.07
Burlington,Willingboro,0.71,12.19
Camden,Barrington,0.19,5.23
Camden,Audubon,0.39,5.03
Passaic,Woodland Park,0.33,9.01
Passaic,West Milford,0.25,3.73
Salem,Carneys Point,0.5,12.02
Passaic,Prospect Park,1.12,21.31
Passaic,Paterson,2.4,39.84
Passaic,Wanaque,0.33,3.97
Passaic,Totowa,0.13,3.76
