,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
Monmouth,Belmar,30,4,"4,162","4,069","4,327","4,220","4,341",72.77,71.24,76.13,74.27,77.7,26.36,25.25,28.98,30.09,-,19.39,19.67,22.26,23.55,-,56.97,4.18,71.71,48.74,63.95
Monmouth,Atlantic Highlands,13,6,"3,380","3,314","3,494","3,464","3,560",77.95,76.87,81.35,80.35,82.48,26.15,25.95,29.51,30.72,-,23.91,27.98,28.16,27.8,-,44.62,44.09,74.7,51.07,64.69
Salem,Upper Pittsgrove,3,2,"2,407","2,370","2,449","2,358","2,479",69.73,69.24,72.24,70.18,73.76,16.95,16.65,18.58,15.06,-,28.79,28.46,31.77,29.16,-,48.53,27.59,73.34,43.55,58.69
Salem,Alloway,3,2,"2,394","2,363","2,451","2,350","2,446",70.04,69.99,73.6,70.63,73.28,20.72,20.52,22.81,20.58,-,28.86,28.69,30.89,26.42,-,44.74,26.91,70.91,49.83,64.1
Somerset,Bound Brook,23,12,"4,585","4,395","4,882","4,957","5,195",41.25,41.87,46.7,47.35,50.49,27.26,28.37,33.7,35.53,-,21.16,20.3,20.83,21.53,-,36.62,34.13,67.29,38.19,51.72
Somerset,Far Hills,21,7,818,724,792,791,827,88.34,77.85,85.44,85.33,90.78,13.94,14.78,17.93,19.09,-,48.78,50.28,48.99,49.18,-,38.75,20.72,70.96,43.24,60.1
Somerset,Green Brook,22,7,"4,854","4,594","4,957","5,010","5,236",66.93,63.21,68.72,69.47,73.85,20.58,21.2,25.38,26.05,-,25.63,25.6,26.95,27.7,-,32.8,17.54,72.02,39.88,59.03
Salem,Penns Grove,3,2,"2,824","2,740","2,815","2,364","2,775",56.4,55.41,57.64,48.93,58.01,51.52,54.45,53.53,51.29,-,5.91,5.51,6.64,6.75,-,28.79,23.69,48.45,25.25,33.05
Salem,Pittsgrove,3,2,"6,112","6,019","6,342","6,037","6,412",66.66,66.28,70.84,68.11,72.6,25.59,25.32,27.67,23.91,-,20.89,20.78,23.27,22.52,-,43.41,26.78,69.47,43.1,54.6
Bergen,Emerson,39,5,"4,728","4,826","5,155","5,025","5,105",62.07,62.7,67.22,64.93,66.79,18.48,18.13,21.28,21.81,-,43.64,42.55,42.06,40.94,-,51.73,33.57,77.96,46.57,69.81
Ocean,Barnegat Twp,9,3,"15,617","15,467","16,639","16,540","17,018",70.02,69.96,74.65,72.6,73.46,20.89,20.19,22.8,23.37,-,25.13,24.99,28.87,29.7,-,38.43,25.29,70.71,40.15,57.2
Bergen,Little Ferry,36,9,"4,941","5,221","5,688","5,360","5,449",45.47,47.62,52.06,48.73,50.35,30.14,29.74,35.63,36.85,-,12.28,11.9,13.84,13.82,-,34.67,32.18,67.84,31.64,51.66
Bergen,River Edge,38,5,"6,736","6,945","7,477","7,197","7,326",58.17,59.52,64.2,61.39,63.53,27.5,27.09,31.57,32.37,-,18.68,18.34,19.68,19.51,-,47.02,32.57,76.1,44.05,63.91
Morris,Wharton,25,7,"3,526","3,648","4,032","4,106","4,256",53.33,55.16,61.3,62.49,65.91,26.77,26.12,30.93,33.07,-,27.88,26.75,27.5,27.57,-,36.64,12.99,71.06,38.33,56.04
Morris,Victory Gardens,25,11,565,555,612,620,662,36.9,36.23,40.29,40.9,44.43,45.49,43.42,48.69,49.03,-,9.73,10.45,12.09,12.26,-,34.69,16.76,63.4,30.97,50.76
Ocean,Berkeley Twp,9,3,"31,023","30,791","32,635","32,267","32,865",73.95,73.84,78.28,77.29,78.7,25.43,24.41,25.64,25.36,-,27.03,27.21,30.71,31.55,-,40.03,27.9,72.01,43.69,59.42
Somerset,Manville,16,12,"5,615","5,184","5,541","5,621","5,865",54.05,49.71,53.13,53.98,57.31,24.83,24.71,27.65,28.46,-,20.96,23.77,25.95,27.01,-,35.24,30.86,68.31,38.12,50.59
Bergen,Teaneck,37,"5, 9","25,212","26,088","28,631","26,669","26,860",62.12,63.67,69.81,64.56,66.13,49.59,49.37,53.83,54.14,-,10.08,9.99,11.02,11.52,-,45.17,24.98,70.39,40.84,64.97
Ocean,Lakewood,30,4,"42,829","42,508","45,725","46,207","47,910",45,42.82,45.38,45,46,14.78,13.92,14.69,15.06,-,34.74,34.18,35.62,39.37,-,33.87,21.61,56.27,26.09,41.08
Somerset,North Plainfield,22,7,"10,710","9,898","10,719","10,757","11,212",48.62,44.71,48.56,48.76,52.06,35.71,36.9,43.95,46.1,-,14.13,13.81,14.31,14.41,-,29.94,12.66,67.8,34.47,54.06
Somerset,Raritan,23,7,"4,415","4,263","4,637","4,674","4,858",54.52,53.08,57.91,58.34,61.69,25.73,25.19,29.46,30.1,-,23.17,23.29,24.69,25.93,-,34.95,28.85,69.92,39.45,56.69
Ocean,Barnegat Light,9,2,652,626,648,620,623,112.41,108.68,110.39,105.62,105.95,15.87,16.4,20.47,20.74,-,59.78,57.64,53.18,50.96,-,53.53,30.51,75,58.55,66.45
Ocean,Ocean Gate,9,3,"1,291","6,717","1,329","1,282","1,340",63.56,334.18,66.19,63.43,66.14,25.29,26.03,27.83,27.6,-,30.43,29.81,32.85,32.89,-,57.01,20.07,72.46,48.91,60.52
Morris,Washington Twp,25,7,"13,394","13,339","14,356","14,368","14,728",71.6,71.13,76.79,76.73,80.04,15.36,15.23,18.38,19.2,-,39.73,39.16,40.55,40.56,-,38.46,13.05,74.15,43.42,62.24
Ocean,Ship Bottom,9,2,994,"1,009","1,060","1,043","1,039",86.59,88.9,93.06,91.25,90.66,16.94,16.8,19.98,21.15,-,45.67,44.96,45.15,45.65,-,42.15,30.03,70.75,48.71,63.14
Sussex,Andover,24,5,408,387,397,393,405,69.51,66.61,69.53,69.31,71.94,24.75,24.81,29.47,29.01,-,34.8,32.56,35.77,36.13,-,36.27,23.77,72.04,45.8,58.52
Bergen,Wyckoff,40,5,"11,813","12,163","12,937","12,348","12,496",69.33,70.62,75.12,71.29,73.21,18.12,17.63,20.31,21.39,-,36.13,35.84,36.51,37.42,-,46.55,26.99,76.43,49.72,68.61
Monmouth,Eatontown,11,4,"8,243","7,901","8,435","8,409","8,650",67.25,64.23,68.65,67.95,70.66,25.21,24.85,28.24,29.93,-,19.06,19.18,20.94,21.62,-,36.93,25.64,69.25,39.93,55.64
Essex,Nutley,28,11,"18,990","18,983","20,990","20,337","20,903",66.17,66.03,73.21,70.3,73.34,29.71,29.17,-,32.93,-,19.29,19.03,-,21.56,-,30.81,13.41,68.59,36.52,58.63
Bergen,Park Ridge,39,5,"5,810","5,961","6,395","6,151","6,217",65.72,66.83,71.85,68.77,70.76,24.07,23.34,26.62,26.64,-,25.14,24.78,27.64,28.08,-,51.36,35.8,77.83,54.24,67.27
Bergen,Westwood,39,5,"6,717","7,007","7,517","7,246","7,331",60.25,62.3,66.91,63.98,65.72,25.74,29.99,32.69,32.94,-,27.04,25.75,27.6,28.01,-,42.97,21.81,76.39,48.05,69.5
Bergen,Ridgefield Park,36,9,"6,523","6,781","7,433","7,160","7,310",50.19,51.76,56.92,54.43,56.19,33.29,33.22,39.77,40.59,-,13.32,13.01,14.53,14.69,-,36.47,13.67,73.36,39.15,61.33
Essex,Newark,"28, 29","8, 10","152,411","152,775","163,976","141,459","148,128",54.32,54.19,58.2,49.61,52.51,49.51,48.41,-,55.99,-,2.29,2.24,-,3,-,20.64,7.81,49,26.14,39.8
Bergen,Wallington,36,9,"6,339","5,354","5,869","5,606","5,636",54.52,45.7,50.21,47.59,48.62,29.26,28.66,31.75,31.94,-,14.03,14.31,16.55,17.32,-,32.77,30.41,68.82,40.12,55.94
Bergen,Rockleigh,37,5,222,217,256,227,236,41.34,40.71,48.03,42.51,44.28,23.01,21.66,20.68,18.93,-,28.45,30.88,33.33,32.51,-,43.69,20.74,65.23,42.73,61.86
Monmouth,Farmingdale,30,4,986,944,982,"1,036","1,045",75.96,72.28,75.95,79.82,79.11,18.05,18.06,21.79,20.46,-,30.63,31.51,33.3,33.4,-,44.62,37.71,73.42,47.88,62.3
Bergen,Saddle River,39,5,"2,526","2,650","2,803","2,637","2,707",78.69,81.41,86.59,80.84,84.67,11.63,10.94,12.32,12.43,-,53.79,55.62,57.48,57.01,-,47.23,20.45,70.1,37.69,60.92
Monmouth,Englishtown,12,4,"1,308","1,253","1,361","1,368","1,412",66.67,64.09,70.23,70.41,73.35,19.27,18.64,22.78,23.61,-,21.56,21.59,23.95,25.07,-,25.76,10.85,67.45,32.16,51.2
Burlington,Evesham,8,3,"32,511","33,164","34,922","34,499","35,342",71.28,72.76,77,76.02,78.43,27.41,26.95,30.28,31.13,-,23.22,22.8,24.66,25.23,-,39.11,15.59,71.75,37.48,60.74
Monmouth,Highlands,13,6,"3,211","3,085","3,302","3,245","3,437",65.18,63.39,68.45,67.31,72.07,28.06,26.49,29.44,29.71,-,22.98,23.08,25.38,26.32,-,33.07,29.04,70.23,43.14,58.28
Essex,Livingston,27,11,"20,870","20,872","22,664","22,280","23,011",69.73,69.93,76.05,73.92,76.57,35.25,34.44,-,37.02,-,16.71,16.44,-,17.44,-,35.76,16.46,67.22,34.66,58.05
Essex,Glen Ridge,28,10,"5,265","5,292","5,872","5,659","5,816",68.55,69.09,76.84,73.46,76.55,41.54,41.52,-,48.45,-,17.32,16.84,-,16.73,-,45.83,10.85,72.41,45.26,66.13
Monmouth,Freehold Twp,11,4,"24,205","23,674","25,280","25,379","25,947",67.59,66.12,70.97,72.4,74.7,20.88,20.79,23.81,24.52,-,22.36,22.28,25.8,27.1,-,34.34,20.46,72.89,42.17,58.47
Burlington,Delran,7,3,"10,663","10,784","11,403","11,296","11,615",63.56,64.32,68.46,67.95,70.29,33.38,32.55,36.82,37.76,-,20.43,20.34,22.06,22.49,-,42.27,20.84,72.89,37.16,58.79
Burlington,Burlington,7,3,"6,048","6,151","6,428","6,279","6,424",61.72,62.71,65.15,63.86,64.99,46.38,44.95,48.86,49.94,-,13.13,15.88,15.84,15.83,-,40.79,36.82,65.42,37.59,53.64
Monmouth,Interlaken,11,6,753,747,765,757,785,92.17,92.45,95.51,94.51,99.12,24.97,25.27,29.8,29.59,-,50.07,47.3,46.93,46.1,-,54.71,36.81,80.65,57.73,72.74
Essex,Montclair,34,"10, 11","28,084","28,465","31,610","30,136","31,358",73.63,74.51,81.68,76.82,81.08,54.45,53.6,-,61.5,-,8.62,8.28,-,8.08,-,40.12,13.27,67.64,43.58,63.5
Atlantic,Northfield,2,2,"5,730","5,703","6,011","6,122","6,246",66.6,66.93,71.47,73.23,76.06,23.73,23.23,26.65,27.08,-,34.54,33.89,33.75,33.3,-,46.16,36.59,74.05,45.67,58.9
Burlington,Beverly,7,3,"1,593","1,583","1,612","1,579","1,599",62.37,61.86,64.15,63.06,64.37,41.87,41.63,44.35,45.09,-,16.51,16.3,16.69,16.97,-,37.1,27.61,65.2,34.83,53.41
Monmouth,Holmdel,13,4,"12,342","12,115","12,902","12,736","13,166",73.93,72.67,77.7,76.54,79.02,16.43,16.43,19.16,19.89,-,32.64,32.16,33.5,35.69,-,38.55,25.13,70.31,40.22,58.58
Essex,Maplewood,27,10,"17,413","17,666","19,357","18,523","19,451",70.62,71.52,78.58,74.55,77.09,56.18,56.81,-,64.84,-,7.64,7.27,-,6.66,-,38.94,23.26,68.23,45.42,62.84
Bergen,Oradell,38,5,"5,611","5,778","6,130","5,963","6,010",68.75,70.31,74.58,71.72,73.36,22.56,22.4,26.25,26.77,-,29.89,29.53,29.76,29.77,-,45.38,45.53,78.24,50.81,67
Essex,Caldwell,27,11,"5,136","5,122","5,702","5,463","5,685",65.03,64.44,71.11,67.57,71.33,31.35,30.85,-,35.05,-,23.17,23.08,-,24.8,-,44.1,26.45,63.07,43.46,62.53
Monmouth,Lake Como,30,4,"1,072","1,036","1,141","1,148","1,199",62.54,60.06,66.45,66.86,70.78,27.71,28.32,29.54,30.84,-,16.88,17.01,20.77,21.69,-,47.48,23.94,73.44,43.64,59.8
Essex,Bloomfield,28,"10, 11","29,508","29,781","33,805","32,778","34,219",61.57,61.69,69.65,64.31,68.2,41.88,41.02,-,49.98,-,13.67,13.24,-,13.01,-,30.49,8.28,64.23,33.21,51.91
Monmouth,Keansburg,13,6,"5,261","4,952","5,282","5,178","5,244",53.29,50.16,53.76,52.8,53.96,25.05,24.97,28.27,29.45,-,14.45,14.67,17.4,19.02,-,21.08,10.76,62.19,31.94,42.39
Essex,Fairfield,26,11,"5,312","5,324","5,798","5,735","5,861",70.35,70.26,76.77,75.32,78.15,18.43,18.16,-,19.3,-,37.54,36.91,-,39.32,-,31.51,11.1,69.04,32.68,54.62
Burlington,Mansfield,8,3,"6,451","6,582","6,928","6,888","7,067",75.34,76.77,80.64,80.31,82.88,28.63,27.89,30.31,30.75,-,29.98,29.26,30.67,32.65,-,50.89,21.45,78.16,50.93,65.67
Burlington,Hainesport,8,3,"4,230","4,275","4,574","4,577","4,677",69.44,70.63,75.29,75.55,77.91,26.55,26.39,28.79,29.45,-,31.73,31.42,32.47,34.87,-,45.6,30.74,75.3,48,65.04
Essex,East Orange,34,10,"40,824","41,423","44,445","39,207","40,680",62.73,63.78,68.6,59.97,63.11,59.64,58.7,-,65.38,-,0.89,0.88,-,1.4,-,26.78,12.63,53.39,31.69,46.26
Monmouth,Little Silver,13,4,"4,839","4,729","4,979","4,914","5,061",81.77,79.98,84.46,83.18,87.06,22.11,22.02,24.94,25.7,-,31.99,31.85,32.78,33.72,-,42.53,34.32,77.16,51.47,68.41
Sussex,Franklin,24,5,"3,127","2,987","3,186","3,207","3,278",63.74,61.52,66.2,67.16,69.19,14.71,14.73,17.77,17.71,-,41.73,43.45,43.22,44.4,-,32.49,22.87,68.68,38.73,52.1
Sussex,Hampton Twp,24,5,"3,700","3,599","3,751","3,763","3,822",73.49,72.36,76.13,76.86,78.5,16.46,16.31,19.09,20.04,-,43.68,44.01,44.39,45.34,-,37.32,18.48,73.87,45.87,61.07
Sussex,Byram,24,11,"6,014","5,771","6,088","6,097","6,159",74.28,71.86,76.02,76.37,77.64,18.42,18.13,20.8,21.55,-,33.46,33.29,35.1,35.94,-,34.69,16.51,75.64,46.2,59.98
Sussex,Sparta,24,11,"14,568","14,091","14,996","15,052","15,370",75.35,73.55,79.26,80.03,82.43,16.95,16.58,20.15,21.07,-,34.94,34.99,36.44,37,-,36.44,14.46,73.49,39.16,60.22
Burlington,Moorestown,7,3,"14,759","15,003","16,030","15,952","16,438",71.67,72.96,77.95,77.66,80.76,27.08,26.61,30.29,31.48,-,34.53,33.47,33.29,33.27,-,47.95,22.32,74.82,43.37,66.32
Sussex,Wantage,24,5,"7,633","7,353","7,740","7,792","7,982",68.43,66.4,70.38,71.26,73.45,12.43,12.43,14.68,15.53,-,44.1,44.66,46.37,46.41,-,37.57,24.58,73.11,40.25,56.5
Burlington,Pemberton Twp,8,3,"14,626","14,688","15,744","15,455","15,845",52.57,52.89,57.11,56.61,58.53,32.33,31.47,33.85,34.8,-,18.15,17.93,19.74,20.69,-,39.05,14.83,61.46,31.61,49.79
Bergen,Teterboro,36,9,36,38,41,34,36,50.7,55.07,59.42,49.28,52.94,34.15,31.58,41.03,36.84,-,19.51,21.05,25.64,23.68,-,52.78,21.05,63.41,50,55.56
Sussex,Hopatcong,24,11,"9,844","9,342","9,948","9,954","10,232",67.04,64.38,69.16,69.62,72.04,19.11,19,21.66,22.61,-,33.06,33.52,35.06,35.72,-,34.38,19.89,71.96,40.35,56.09
Burlington,Chesterfield,12,3,"3,207","3,337","3,611","3,697","3,857",41.69,44.07,48.21,48.73,51.43,23.36,22.6,26.11,27.7,-,29.34,28.53,29.38,29.81,-,46.34,22.03,76.52,51.07,65.36
Sussex,Newton,24,5,"4,754","4,488","4,846","4,788","5,038",60.35,56.25,61.28,60.92,63.47,19.92,43.26,22.99,23.73,-,33.07,71.37,34.36,34.71,-,31.93,18,67.13,39.08,52.22
Warren,Phillipsburg,23,7,"8,029","8,213","8,882","8,120","8,448",55.11,56.58,61.45,56.16,59.06,29.43,28.98,33.74,33.76,-,18.18,17.95,23.73,23.79,-,25.41,29.84,54.55,35.53,45.36
Warren,Hardwick,24,5,"1,179","1,179","1,265","1,229","1,264",70.81,70.73,76.11,74.8,77.5,15.38,15.65,21.11,20.99,-,41.19,40.42,43.8,43.37,-,35.79,14.84,69.57,40.85,59.57
Ocean,Lakehurst,10,4,"1,450","1,408","1,555","1,514","1,550",53.45,52.26,57.76,56.14,57.41,17.12,16.63,21.18,21.86,-,25.53,24.95,25.62,27.74,-,29.59,14.56,61.74,31.64,45.81
Warren,Harmony,23,7,"1,865","1,883","1,987","1,913","1,956",72.71,73.67,78.79,75.91,78.68,19.47,19.45,21.02,20.54,-,39.21,39.06,44.69,44.96,-,34.64,15.29,67.04,38.42,56.85
Ocean,Lacey,9,3,"19,114","18,975","19,946","20,088","20,724",67.75,66.7,69.82,69.7,71.17,16.26,16.24,17.92,17.95,-,27.4,29.43,32.15,33.1,-,39.11,25.58,71.7,39.44,56.29
Warren,Frelinghuysen,24,5,"1,622","1,629","1,700","1,652","1,699",74.13,74.45,77.31,75.09,78.01,14.03,14.06,16.09,17.07,-,42.79,42.66,51.93,50.24,-,41.43,28.48,72.59,42.49,58.33
Union,Clark,22,7,"10,644","10,632","11,457","11,373","11,665",68.85,68.44,72.35,70.6,73.17,25.74,25.39,27.14,27.73,-,22.95,22.59,25.77,26.57,-,40.3,18.42,74.98,40.51,60.03
Ocean,Jackson,12,4,"36,396","35,994","38,335","37,946","38,744",64.48,63.8,67.57,66.49,67.71,20.39,20.12,22.13,22.68,-,23.02,22.81,26.62,28.23,-,35.97,16.21,71.56,39.76,57.07
Warren,Greenwich,23,7,"3,726","3,782","4,134","3,977","4,134",66.87,68.07,74.78,71.89,75.52,16.55,16.46,21.22,21.55,-,39.13,38.72,42.42,41.79,-,37.28,11.61,65.09,37.14,54.43
Union,Fanwood,22,12,"5,185","5,153","5,590","5,547","5,733",67.72,67.35,72.6,71.04,74.42,32.12,31.6,35.78,37.52,-,22.55,22.25,22.81,22.46,-,40.96,22.82,76.87,49.59,66.6
Ocean,Island Heights,10,3,"1,281","1,264","1,341","1,324","1,369",75.66,75.78,81.42,79.42,81.78,21.75,21.29,24.38,24.59,-,30.99,30.05,31.43,32.53,-,48.87,43.35,76.51,57.48,67.57
Warren,Alpha,23,7,"1,485","1,508","1,642","1,576","1,606",64.23,65.48,71.52,68.61,70.66,36.13,35.51,35.61,35.53,-,19.47,19.44,26.47,26.4,-,32.66,30.7,65.71,39.59,56.29
Warren,Blairstown,24,5,"4,401","4,445","4,661","4,429","4,558",75.44,76.39,80.46,76.26,79.57,14.74,14.82,18.57,19.69,-,42.46,42.12,44.56,44.5,-,38.63,22.79,67.22,40.53,57.85
Ocean,Bay Head,10,4,855,820,867,844,840,85.41,84.36,88.65,86.03,85.98,12.96,12.5,16.14,16.37,-,51.83,50.12,49.59,51,-,54.27,30.37,73.93,58.18,69.52
Gloucester,Harrison Twp,5,2,"8,556","8,689","9,238","9,423","9,809",66.75,66.92,71.16,72.4,74.88,23,22.73,25.21,25.87,-,30.81,30.26,34.41,35.06,-,35.47,23.66,74.82,43.47,60.25
Mercer,Hopewell Twp,15,12,"13,056","13,044","14,022","13,985","14,482",70.96,70.11,75.7,76.57,80.55,33.04,32.62,36.3,37.16,-,24.11,23.64,24.04,23.74,-,46.55,29.22,72.64,46.87,61.86
Gloucester,Greenwich,3,1,"3,610","3,603","3,689","3,661","3,758",74.56,74.18,76.05,75.55,78.1,57.06,55.05,54.09,54.21,-,12.99,13.4,15.61,16.78,-,51.36,42.3,72.62,54.41,60.24
Ocean,Beach Haven,9,2,996,978,"1,029",967,967,84.41,83.45,87.72,81.81,81.19,17.37,17.38,20.16,20.74,-,35.54,35.38,37.1,37.25,-,49.1,23.82,69,44.47,59.98
Mercer,Hopewell,15,12,"1,544","1,531","1,611","1,573","1,628",80.46,79.37,83.64,80.75,84.97,48.08,48.02,51.7,52.78,-,16.12,15.65,15.74,15.89,-,48.25,26,77.16,51.68,68.92
Mercer,Hamilton,14,4,"58,246","57,714","61,304","61,421","63,361",65.35,64.83,69.35,68.95,72.37,30.82,30.16,33.8,34.41,-,18.1,17.89,19.64,20.03,-,36.86,31.05,70.96,42.76,54.55
Gloucester,Franklin Twp,3,2,"11,133","11,247","11,705","11,737","12,058",66.66,67.47,70.65,71.14,73.57,25.64,25.48,28.64,29.47,-,22.21,22.15,23.96,25.03,-,38.69,28.14,68.56,39.99,52.49
Mercer,East Windsor,14,12,"15,899","15,741","17,240","17,376","18,113",57.74,57.03,62.85,62.67,66,34.82,34,39.4,41.02,-,14.63,14.31,15.4,15.36,-,33.72,22.34,69.87,37.93,53.45
