,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Union,Winfield,22,7,"16,537,823","16,539,043","16,539,073","16,539,073","16,616,353","11,011","10,953","10,975","10,824","11,012","28,712.36","30,712.41",-,-,-,"1,189","1,170",-,-,-,77.56,77.56,"1,196.17",77.56,77.6,-,-,-,-,-
Bergen,Mahwah,39,5,"5,951,157,119","5,891,312,631","6,012,236,516","6,071,481,695","6,044,918,922","224,572","221,561","226,526","226,895","229,148","68,519.33","69,390.07",-,-,-,"22,774","22,976",-,-,-,77.05,77.01,105.64,77.37,77.46,Aaa,Aaa,Aaa,Aaa,-
Monmouth,Shrewsbury,11,4,"1,063,413,883","1,120,448,571","1,165,963,304","1,172,908,786","53,093,166","257,797","271,229","282,863","284,548","12,997","66,652.72","69,903.93",-,-,-,"4,075","4,114",-,-,-,62.13,65.85,104.23,67.44,68.05,Aa3,Aa3,Aa3,Aa3,-
Bergen,Hillsdale,39,5,"1,773,806,808","1,791,143,056","1,812,873,041","1,805,083,688","1,870,652,670","169,224","169,632","172,490","170,597","179,784","54,409.68","54,792.92",-,-,-,"10,133","10,221",-,-,-,92.5,92.51,108.06,92.56,92.46,-,-,-,-,-
Bergen,Hasbrouck Heights,38,9,"1,760,420,462","1,773,873,345","1,843,997,932","1,848,284,984","1,818,148,316","144,926","145,078","151,371","150,549","150,509","41,316.96","41,672.95",-,-,-,"11,477","11,612",-,-,-,75.26,75.41,118.13,74.41,74.37,Aa3,Aa3,Aa3,Aa3,-
Morris,Jefferson,26,11,"2,613,737,456","2,614,818,405","2,673,568,068","2,662,753,338","2,706,816,274","121,665","121,653","124,898","124,614","128,822","42,150.81","42,708.30",-,-,-,"19,734","19,440",-,-,-,89.2,89.04,104.41,89.3,89.29,Aa2,Aa2,Aa2,Aa2,-
Middlesex,South Plainfield,18,6,"3,813,297,103","3,770,777,387","3,685,814,440","3,776,689,306","3,944,012,798","159,153","155,240","152,174","154,561","163,442","34,968.49","36,190.01",-,-,-,"22,766","22,854",-,-,-,63.03,63.38,264.13,63.87,63.81,Aa2,Aa2,Aa2,Aa2,-
Bergen,Fort Lee,37,9,"6,648,766,883","6,681,878,554","6,452,355,023","6,593,348,346","7,158,455,592","179,570","182,207","171,710","173,935","188,773","55,521.87","59,323.86",-,-,-,"31,694","32,206",-,-,-,59.16,58.68,103,59.21,59,Aa2,Aa2,Aa2,Aa2,-
Middlesex,South Amboy,19,6,"821,267,784","817,220,961","863,167,063","872,870,760","918,730,111","92,767","92,383","98,333","98,552","102,985","33,281.61","34,510.30",-,-,-,"7,412","7,454",-,-,-,85.23,84.57,95.19,82.25,82.51,A3,A3,-,-,-
Bergen,Glen Rock,38,5,"2,460,273,732","2,516,158,864","2,511,482,736","2,550,031,422","2,645,493,963","206,728","209,697","210,236","211,709","223,645","74,093.56","74,573.35",-,-,-,"12,089","12,087",-,-,-,91.94,92.08,108.03,92.2,92.03,A1,A1,Aa3,Aa2,-
Bergen,Edgewater,32,9,"2,972,025,895","3,195,796,263","3,432,841,821","3,678,678,857","4,064,819,927","240,786","265,564","285,025","297,435","319,561","68,102.64","73,860.25",-,-,-,"10,130","10,469",-,-,-,56.79,57.25,122.01,57.51,61.08,Aa3,Aa2,Aa2,Aa2,-
Bergen,Fair Lawn,38,5,"4,469,783,230","4,595,748,031","4,729,760,685","4,993,490,589","5,094,484,812","133,231","136,790","141,385","148,131","153,782","43,785.12","45,473.83",-,-,-,"31,892","32,244",-,-,-,80.01,79.65,113.05,79.63,79.61,Aa2,Aa2,Aa1,Aa1,-
Monmouth,Asbury Park,11,6,"1,424,689,394","1,400,318,489","1,410,620,423","1,565,679,032","195,801,853","90,296","88,527","89,723","99,301","12,623","22,060.48","23,502.07",-,-,-,"12,021","11,988",-,-,-,57.79,60.47,108.98,60.28,60.16,Baa2,-,-,A2,-
Monmouth,Allenhurst,11,6,"504,606,813","582,946,565","564,166,366","610,882,642","2,339,312,381","1,031,916","1,187,264","1,158,453","1,249,249","4,823,325","118,260.98","86,018.10",-,-,-,413,407,-,-,-,92.28,92.38,112.51,93.44,93.51,-,-,-,-,-
Middlesex,Woodbridge,19,6,"10,721,860,747","11,399,418,958","10,529,809,235","10,839,569,983","11,409,315,649","106,342","111,644","103,856","106,307","113,582","32,853.24","34,518.76",-,-,-,"94,641","95,954",-,-,-,64.46,64.16,334.56,63.76,64.3,Aa2,-,-,-,-
Middlesex,Spotswood,14,12,"767,576,473","771,596,429","776,782,558","785,666,950","810,065,856","90,870","91,033","92,156","92,912","97,516","34,251.73","34,981.02",-,-,-,"7,396","7,389",-,-,-,87.57,87.52,105.2,87.59,87.65,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Colts Neck,11,4,"3,041,417,551","3,017,649,789","3,015,171,174","3,048,057,282","1,546,255,354","302,178","300,593","302,576","305,784","156,519","119,019.34","115,163.70",-,-,-,"10,246","10,074",-,-,-,84.26,84.34,100.57,85.23,85.2,Aa2,Aa2,-,-,-
Monmouth,Brielle,30,4,"1,356,437,672","1,373,799,339","1,467,178,803","1,500,913,983","1,340,592,396","285,026","288,795","311,173","317,721","285,780","78,345.48","72,134.65",-,-,-,"4,986","5,005",-,-,-,89.19,89.95,101.42,90.25,90.51,-,-,-,-,-
Monmouth,Belmar,30,4,"1,521,202,996","1,522,587,755","1,564,648,689","1,678,449,115","1,037,515,489","265,991","266,559","275,272","295,398","185,702","45,530.57","50,460.69",-,-,-,"4,655","4,843",-,-,-,86.49,87.3,148.99,88.2,87.81,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Atlantic Highlands,13,6,"748,863,935","772,283,577","798,321,605","819,449,533","1,744,926,806","172,708","179,143","185,872","190,083","404,293","52,447.84","54,258.77",-,-,-,"3,914","3,916",-,-,-,87.72,87.87,125.34,87.68,86.61,-,-,-,-,-
Salem,Upper Pittsgrove,3,2,"301,839,144","317,163,236","318,855,194","307,907,516","315,853,737","87,439","92,657","94,058","91,639","93,976","31,209.09","33,960.79",-,-,-,"3,210","3,160",-,-,-,63.16,62.75,93.53,62.32,62.08,-,-,-,-,-
Salem,Alloway,3,2,"296,345,013","285,019,967","290,865,704","291,366,685","289,811,724","86,701","84,425","87,347","87,576","86,822","35,887.31","36,914.73",-,-,-,"2,716","2,711",-,-,-,73.71,74.26,104.09,74.83,74.78,-,-,-,-,-
Somerset,Bound Brook,23,12,"733,998,715","746,654,270","739,845,280","813,165,287","813,450,022","66,031","71,130","70,765","77,681","79,060","24,457.77","25,731.05",-,-,-,"9,526","9,827",-,-,-,76.78,75.35,101.44,73.55,73.64,A2,A2,A2,A2,-
Somerset,Far Hills,21,7,"440,234,691","442,435,593","455,141,437","462,296,949","430,672,656","475,415","475,737","490,983","498,702","472,747","415,955.30","364,374",-,-,-,722,738,-,-,-,62.82,62.28,101.27,61.92,62.51,-,-,-,-,-
Somerset,Green Brook,22,7,"1,402,922,822","1,382,721,350","1,424,660,911","1,400,103,736","1,415,355,309","193,453","190,248","197,513","194,135","199,627","60,173.64","61,684.36",-,-,-,"7,213","7,283",-,-,-,81.47,81.56,106.03,80.91,80.55,Aa3,-,-,-,-
Salem,Penns Grove,3,2,"151,367,986","145,768,568","133,912,019","128,197,968","231,850,548","30,231","29,478","27,419","26,537","48,464","14,968.31","15,199.46",-,-,-,"3,914","4,022",-,-,-,76.55,76.03,78,76.47,76.42,-,-,-,-,-
Salem,Pittsgrove,3,2,"640,716,761","633,290,415","640,739,562","657,399,188","458,827,947","69,879","69,738","71,575","74,165","51,951","32,250.24","33,684.12",-,-,-,"7,987","7,981",-,-,-,79.54,79.67,105.97,80.37,80.83,A1,A1,-,-,-
Bergen,Emerson,39,5,"1,229,027,356","1,254,121,708","1,264,773,869","1,290,102,903","1,311,865,047","161,353","162,936","164,920","166,702","171,643","48,446.86","48,471.61",-,-,-,"7,011","7,070",-,-,-,84.23,84.27,105.21,84.78,84.97,Aa2,Aa2,Aa2,Aa2,-
Ocean,Barnegat Twp,9,3,"2,210,886,977","1,023,318,032","2,253,217,077","2,312,726,962","418,886,740","99,130","46,287","101,096","101,511","18,081","28,991.22","29,747.56",-,-,-,"19,836","19,987",-,-,-,87.94,88.13,98.94,88.78,88.67,A1,A1,A1,A1,-
Bergen,Little Ferry,36,9,"1,087,240,097","1,024,327,657","1,019,460,861","1,009,752,607","1,098,749,992","100,059","93,435","93,315","91,796","101,529","30,012.92","30,770.24",-,-,-,"9,882","9,789",-,-,-,66.09,61.56,103.32,61,60.87,-,-,-,-,-
Bergen,River Edge,38,5,"1,640,284,216","1,673,342,519","1,700,276,737","1,767,937,536","1,841,954,797","141,660","143,413","145,984","150,796","159,739","46,427.91","47,918.19",-,-,-,"11,476","11,624",-,-,-,86.06,86.08,117.12,85.99,85.97,Aa3,Aa3,Aa3,Aa2,-
Morris,Wharton,25,7,"669,610,331","659,501,264","664,479,664","670,061,069","710,949,922","101,272","99,728","101,031","101,972","110,105","30,245.71","31,325.56",-,-,-,"6,294","6,647",-,-,-,65.18,65.56,101.17,65.63,65.56,-,-,-,-,-
Morris,Victory Gardens,25,11,"70,491,677","72,141,516","72,158,685","71,662,508","74,806,506","46,043","47,090","47,504","47,271","50,206","18,556.42","18,460.48",-,-,-,"1,351","1,326",-,-,-,71.71,71.7,102.11,71.68,71.66,-,-,-,-,-
Ocean,Berkeley Twp,9,3,"5,089,942,825","5,145,736,768","5,286,358,469","5,419,664,792","902,466,368","121,334","123,402","126,805","129,822","21,610","29,074.73","30,623.54",-,-,-,"32,703","33,201",-,-,-,89.7,89.86,103.26,90.45,90.36,A2,A2,-,A1,-
Somerset,Manville,16,12,"873,247,816","892,474,858","893,281,020","895,004,762","926,011,872","84,063","85,576","85,645","85,942","90,484","26,452.75","27,317.73",-,-,-,"9,318","9,439",-,-,-,85.59,85.64,101.95,83.82,83.88,A1,A1,A1,A1,-
Bergen,Teaneck,37,"5, 9","5,152,503,838","5,285,135,601","5,477,623,995","5,562,276,534","5,835,196,919","126,950","128,994","133,568","134,644","143,657","55,878.19","57,036.19",-,-,-,"37,118","37,592",-,-,-,85.62,83.67,109.17,84.07,84.22,Aa2,Aa2,Aa2,Aa2,-
Ocean,Lakewood,30,4,"7,586,119,238","160,482,784","9,019,235,565","10,097,357,987","154,768,885","79,705","1,617","89,514","98,336","1,486","16,992.58","17,982.81",-,-,-,"95,592","100,077",-,-,-,73.54,73.76,139.8,71.04,71.78,Aa3,Aa3,Aa3,Aa3,-
Somerset,North Plainfield,22,7,"1,497,196,545","1,530,468,311","1,545,136,858","1,585,062,848","1,650,676,409","67,965","69,127","70,001","71,852","76,651","25,306.01","26,546.11",-,-,-,"20,280","20,337",-,-,-,75.57,75,101.41,74.54,70.62,A1,A1,A1,A1,-
Somerset,Raritan,23,7,"1,162,138,926","1,237,391,888","1,236,443,788","1,271,426,010","1,314,917,205","143,509","154,077","154,420","158,710","166,974","37,735.24","39,474.23",-,-,-,"6,776","7,040",-,-,-,52.57,51.41,104.21,51.02,51.14,Aa2,-,-,-,-
Ocean,Barnegat Light,9,2,"1,006,654,434","2,220,474,015","1,015,149,692","989,473,786","2,424,724,063","1,735,611","3,854,990","1,729,386","1,685,645","4,123,680","52,405.31","46,007.26",-,-,-,466,270,-,-,-,92.4,85.13,101.47,92.85,93,-,-,-,-,-
Ocean,Ocean Gate,9,3,"229,871,372","1,287,497,263","226,295,735","227,135,356","1,431,878,794","113,181","640,546","112,697","112,388","706,752","30,714.33","33,549.38",-,-,-,979,"1,007",-,-,-,96.07,96.59,105.09,95.92,96.31,A2,A2,A2,A2,-
Morris,Washington Twp,25,7,"2,795,635,987","2,843,585,328","2,888,183,955","2,893,287,474","2,894,744,060","149,451","151,642","154,490","154,506","157,315","62,490.66","63,881.89",-,-,-,"18,141","17,615",-,-,-,87.98,88.14,102.61,87.94,88.06,-,-,-,Aa2,-
Ocean,Ship Bottom,9,2,"1,203,814,202","1,144,126,000","1,267,078,098","1,366,002,285","1,161,160,521","1,048,619","1,008,041","1,112,448","1,195,103","1,013,229","39,185.05","40,746.35",-,-,-,963,989,-,-,-,86.16,85.87,111.56,88.13,88.97,A1,A1,A1,Aa3,-
Sussex,Andover,24,5,"70,893,559","69,750,102","65,910,858","66,754,241","66,392,310","120,773","120,052","115,431","117,732","117,926","30,787.95","32,132.58",-,-,-,494,524,-,-,-,63.61,63.9,96.68,64.14,64.28,-,-,-,-,-
Bergen,Wyckoff,40,5,"4,381,465,396","4,495,046,498","4,595,080,811","4,617,182,770","4,676,864,564","257,143","260,976","266,830","266,550","274,014","100,239.29","100,112.89",-,-,-,"16,852","16,942",-,-,-,93.35,92.95,98.91,92.82,92.76,-,-,-,-,-
Monmouth,Eatontown,11,4,"1,991,058,869","1,966,758,027","2,027,006,956","2,306,810,785","2,632,626,115","162,443","159,886","164,972","186,394","215,049","34,247.12","36,107.55",-,-,-,"11,023","11,180",-,-,-,43.22,45.9,93.01,45.49,45.9,-,-,-,-,-
Essex,Nutley,28,11,"3,633,584,323","3,574,836,961","3,649,462,594","3,716,828,517","3,826,843,565","126,606","124,351","127,292","128,486","134,275","43,174.74","44,543.91",-,-,-,"27,256","27,534",-,-,-,77.93,80.26,112.33,80.23,80.17,Aa2,Aa2,Aa2,Aa2,-
Bergen,Park Ridge,39,5,"1,766,719,171","1,866,947,775","1,842,799,975","1,802,510,673","1,846,874,570","199,833","209,323","207,056","201,533","210,207","60,118.74","63,493.34",-,-,-,"8,552","8,580",-,-,-,85.71,85.59,116.18,86.98,87.08,Aa2,Aa2,Aa2,Aa2,-
Bergen,Westwood,39,5,"1,881,933,117","1,944,636,496","1,923,607,084","2,006,335,437","2,156,697,040","168,798","172,903","171,216","177,144","193,339","45,364.86","45,059.55",-,-,-,"10,428","10,598",-,-,-,68.83,68.87,110,67.92,67.09,Aa2,Aa2,Aa2,Aa2,-
Bergen,Ridgefield Park,36,9,"1,283,430,240","1,224,210,100","1,308,420,422","1,362,740,796","1,580,531,217","98,756","93,437","100,193","103,599","121,495","29,595.61","31,119.62",-,-,-,"11,890","12,178",-,-,-,63.18,63.94,109.79,64.48,64.41,A1,A1,A1,A1,-
Essex,Newark,"28, 29","8, 10","13,504,909,450","13,258,015,061","13,759,801,454","15,123,537,850","14,945,106,090","48,132","47,024","48,834","53,036","52,980","16,655.51","17,394.52",-,-,-,"198,478","196,994",-,-,-,41.31,41.96,112.54,42.9,43.35,Ba1,Ba1,Baa3,Baa3,-
Bergen,Wallington,36,9,"962,604,629","962,155,443","985,875,229","1,050,027,574","1,089,666,723","82,798","82,123","84,342","89,129","94,010","27,663.38","29,012.81",-,-,-,"10,514","10,698",-,-,-,71.2,71.31,104.16,71.14,71.24,A1,A1,A1,A1,-
Bergen,Rockleigh,37,5,"203,689,220","197,558,691","178,812,796","237,460,694","251,716,515","379,310","370,654","335,484","444,683","472,264","170,510.20","225,933.29",-,-,-,207,222,-,-,-,51.76,51.6,80.67,50.97,50.05,-,-,-,-,-
Monmouth,Farmingdale,30,4,"138,780,348","145,958,075","146,043,388","149,658,560","1,774,823,276","106,919","111,760","112,949","115,299","1,343,545","32,200.51","33,234.42",-,-,-,"1,341","1,334",-,-,-,73.64,68.79,94.73,68.43,72.08,-,-,-,-,-
Bergen,Saddle River,39,5,"2,502,579,175","2,560,864,580","2,497,803,288","2,456,768,183","2,455,846,610","779,620","786,748","771,641","753,148","768,172","342,525.01","358,628.99",-,-,-,"3,168","3,155",-,-,-,94.3,94.17,109.59,94.58,94.33,-,-,-,-,-
Monmouth,Englishtown,12,4,"223,236,967","232,973,581","238,958,085","253,041,801","2,300,058,363","113,780","119,168","123,301","130,233","1,194,836","31,746.87","32,206.29",-,-,-,"2,134","2,104",-,-,-,80.14,76.56,99.32,76.46,76.79,-,-,-,-,-
Burlington,Evesham,8,3,"5,108,864,437","5,218,087,643","5,243,965,949","5,418,983,217","5,582,322,115","112,005","114,489","115,631","119,411","123,886","45,298.57","48,327.36",-,-,-,"44,150","44,265",-,-,-,79.07,79.17,100.5,79.68,79.67,Aa3,Aa3,Aa2,Aa2,-
Monmouth,Highlands,13,6,"608,021,573","600,572,431","613,324,190","635,745,043","6,615,462,721","123,431","123,397","127,140","131,870","1,387,180","44,132.86","44,358.10",-,-,-,"3,336","3,363",-,-,-,87.23,87.65,104.58,86.55,86.54,-,-,-,-,-
Essex,Livingston,27,11,"7,601,839,608","7,651,295,614","7,767,037,176","8,046,830,684","8,609,536,074","253,979","256,333","260,630","266,964","286,469","125,512.68","97,334.69",-,-,-,"30,355","30,231",-,-,-,83.08,83.55,107.79,83.63,83.8,Aa2,Aa2,Aa2,Aa2,-
Essex,Glen Ridge,28,10,"1,501,318,526","1,559,456,286","1,642,393,358","1,703,121,220","1,766,804,166","195,459","203,584","214,917","221,070","232,535","92,064.62","91,508.86",-,-,-,"7,590","7,665",-,-,-,90.33,90.36,118.98,90.55,90.53,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Freehold Twp,11,4,"6,095,136,631","6,589,292,604","6,456,448,298","6,510,731,901","1,091,828,385","170,198","184,022","181,244","185,740","31,433","47,616.46","51,426.87",-,-,-,"33,861","33,773",-,-,-,72.14,72.39,107.04,72.01,72.53,Aa2,Aa2,Aa1,-,-
Burlington,Delran,7,3,"1,536,289,648","1,493,223,582","1,470,364,437","1,565,309,805","1,590,059,892","91,582","89,057","88,278","94,165","96,227","33,733.82","35,357.56",-,-,-,"16,412","16,404",-,-,-,76.84,76.97,104.91,76.64,76.83,Aa2,Aa2,Aa2,Aa2,-
Burlington,Burlington,7,3,"660,033,125","648,488,833","647,121,353","630,842,345","628,035,958","67,357","66,118","65,591","64,162","63,541","23,724.21","24,481.58",-,-,-,"7,964","7,919",-,-,-,71.04,71,103.02,71.81,71.69,-,-,-,-,-
Monmouth,Interlaken,11,6,"251,961,731","232,110,129","244,622,788","272,872,165","4,272,412,054","308,399","287,265","305,397","340,664","5,394,460","88,271.37","86,351.13",-,-,-,800,789,-,-,-,99.81,99.82,100.7,99.71,99.71,-,-,-,-,-
Essex,Montclair,34,"10, 11","6,732,498,114","6,821,875,636","7,080,057,436","7,308,164,820","7,800,989,371","176,511","178,574","182,947","186,304","201,701","85,434.19","93,202.83",-,-,-,"34,820","35,105",-,-,-,85.09,85.23,123.84,85.54,85.34,Aa3,Aa3,Aa2,Aa1,-
Atlantic,Northfield,2,2,"972,574,254","913,231,754","922,743,930","895,677,898","916,042,691","113,037","107,174","109,720","107,139","111,549","34,774.60","37,220.97",-,-,-,"8,135","8,019",-,-,-,77.74,77.78,100.09,78.37,78.45,Aa2,Aa2,Aa2,Aa2,-
Burlington,Beverly,7,3,"113,942,659","116,844,261","124,764,977","123,835,738","123,635,005","44,613","45,660","49,648","49,455","49,773","23,411.45","23,881.03",-,-,-,"2,043","2,059",-,-,-,91.29,91.63,103.67,90.3,90.15,-,-,-,-,-
Monmouth,Holmdel,13,4,"4,083,943,547","4,191,462,747","4,233,189,633","4,228,784,408","2,602,503,157","244,635","251,422","254,950","254,134","156,194","91,133.78","97,306.36",-,-,-,"16,574","16,600",-,-,-,87.66,87.71,102.13,87.13,86.89,-,-,-,-,-
Essex,Maplewood,27,10,"3,405,824,026","3,496,476,977","3,760,526,728","4,010,300,796","4,204,433,063","138,128","141,558","152,656","161,400","166,631","61,573.62","63,293.72",-,-,-,"23,434","23,866",-,-,-,88.72,88.89,123.03,88.76,89.02,Aa2,Aa2,Aa2,Aa2,-
Bergen,Oradell,38,5,"1,642,677,802","1,714,044,093","1,726,138,475","1,831,846,121","1,883,817,638","201,284","208,572","210,018","220,333","229,930","70,744.69","71,861.97",-,-,-,"8,203","8,191",-,-,-,86.14,86.32,119.15,86.4,86.56,Aa2,Aa2,-,-,-
Essex,Caldwell,27,11,"1,060,645,839","1,120,551,239","1,082,699,062","1,160,664,294","1,151,636,717","134,293","140,985","135,034","143,558","144,496","52,053.36","50,344.80",-,-,-,"6,974","7,105",-,-,-,79.63,80.04,108.8,78.24,78.5,A1,A1,A1,A1,-
Monmouth,Lake Como,30,4,"367,747,554","388,099,480","402,350,370","399,634,033","4,282,516,571","214,555","224,985","234,333","232,751","2,528,050","34,226.23","36,855.87",-,-,-,"1,508","1,506",-,-,-,90.12,90.22,107.38,91.44,91.16,-,-,-,-,-
Essex,Bloomfield,28,"10, 11","4,286,567,728","4,246,315,925","4,343,792,009","4,546,908,604","4,753,846,970","89,436","87,959","89,491","89,208","94,751","33,289.63","34,732.45",-,-,-,"44,074","44,788",-,-,-,78.08,78.26,107.76,78.32,78.46,Aa3,Aa3,Aa3,Aa2,-
Monmouth,Keansburg,13,6,"540,578,052","529,389,379","518,557,831","524,855,545","7,493,685,010","54,759","53,620","52,774","53,524","771,035","22,524.12","23,104.01",-,-,-,"7,040","7,034",-,-,-,84.44,84.39,111.06,84.39,84.25,-,-,-,-,-
Essex,Fairfield,26,11,"2,632,646,696","3,052,939,080","2,902,745,749","2,853,073,919","3,127,841,416","348,649","402,869","384,368","374,714","417,046","58,097.87","52,973.15",-,-,-,"7,611","7,683",-,-,-,42.39,42.84,112.15,44.02,44.25,Aa2,Aa2,Aa2,-,-
Burlington,Mansfield,8,3,"1,128,404,489","1,162,793,294","1,199,882,161","1,203,065,351","1,207,346,937","131,777","135,619","139,667","140,266","141,591","41,846.76","43,587.83",-,-,-,"8,303","8,249",-,-,-,85.1,85.36,121.89,86.19,86.65,-,-,-,-,-
Burlington,Hainesport,8,3,"780,040,424","798,607,818","807,764,673","820,684,681","842,054,095","128,043","131,936","132,965","135,471","140,272","43,965.71","46,205.09",-,-,-,"5,970","5,904",-,-,-,79.86,79.75,106.09,79.96,79.72,-,-,-,-,-
Essex,East Orange,34,10,"2,794,833,130","2,708,446,162","2,709,394,620","2,994,115,531","3,065,378,440","42,946","41,701","41,819","45,797","47,557","18,965.98","19,724.11",-,-,-,"50,181","51,472",-,-,-,59.69,59.48,109.22,59.22,59.53,A2,A2,A2,A2,-
Monmouth,Little Silver,13,4,"1,643,779,699","1,659,642,529","1,685,349,476","1,692,700,912","536,408,031","277,759","280,677","285,895","286,510","92,277","86,029.89","85,572.86",-,-,-,"6,240","6,257",-,-,-,91.15,91.64,103.18,92.36,92.2,-,-,-,-,-
Sussex,Franklin,24,5,"417,048,163","409,703,658","416,902,554","411,366,026","404,044,968","85,008","84,388","86,620","86,150","85,278","27,424.13","28,232.55",-,-,-,"4,371","4,300",-,-,-,63.51,63.54,104.08,62.54,62.76,Aa3,Aa3,Aa3,Aa3,-
Sussex,Hampton Twp,24,5,"630,485,896","629,170,419","636,473,690","643,702,953","661,060,825","125,221","126,492","129,181","131,475","135,769","40,545.70","37,505.57",-,-,-,"4,664","4,648",-,-,-,71.17,71.7,105.12,71.65,71.67,-,-,-,-,-
Sussex,Byram,24,11,"963,635,359","969,410,294","965,576,690","990,802,053","995,093,481","119,026","120,709","120,577","124,114","125,437","42,309.33","45,378.73",-,-,-,"8,045","7,949",-,-,-,87.69,87.73,104.34,87.9,87.84,-,-,-,-,-
Sussex,Sparta,24,11,"3,130,815,540","3,107,158,765","3,086,812,597","3,102,925,478","3,187,636,364","161,942","162,178","163,151","164,988","170,946","59,451.52","59,153.82",-,-,-,"19,257","19,292",-,-,-,87.42,87.41,103.59,86.83,86.51,Aa2,Aa2,Aa2,Aa2,-
Burlington,Moorestown,7,3,"4,621,462,242","4,725,038,502","4,621,769,341","4,604,727,593","4,838,668,835","224,408","229,772","224,740","224,183","237,714","80,249.75","85,737.81",-,-,-,"20,409","20,434",-,-,-,73.44,73.28,115.49,73.81,74.84,Aa1,Aa1,Aa1,Aaa,-
